Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Command to Leave Horeb,,,,
,,1,DEU,1:1-2,
,,2,DEU,1:3-4,
,,3,DEU,1:5-5,
,,4,DEU,1:6-8,
2,The Appointment of Leaders,,,,
,,1,DEU,1:9-13,
,,2,DEU,1:14-14,
,,3,DEU,1:15-18,
3,Spies Sent Out,,,,
,,1,DEU,1:19-21,
,,2,DEU,1:22-22,
,,3,DEU,1:23-25,
4,Rebellion Against the Lord,,,,
,,1,DEU,1:26-28,
,,2,DEU,1:29-31,
,,3,DEU,1:32-33,
,,4,DEU,1:34-36,
,,5,DEU,1:37-40,
,,6,DEU,1:41-41,
,,7,DEU,1:42-42,
,,8,DEU,1:43-46,
5,Wanderings in the Desert,,,,
,,1,DEU,2:1-1,
,,2,DEU,2:2-6,
,,3,DEU,2:7-7,
,,4,DEU,2:8-8,
,,5,DEU,2:9-9,
,,6,DEU,2:10-12,
,,7,DEU,2:13-13,
,,8,DEU,2:14-15,
,,9,DEU,2:16-19,
,,10,DEU,2:20-23,
6,Defeat of Sihon King of Heshbon,,,,
,,1,DEU,2:24-25,
,,2,DEU,2:26-30,
,,3,DEU,2:31-31,
,,4,DEU,2:32-37,
7,Defeat of Og King of Bashan,,,,
,,1,DEU,3:1-2,
,,2,DEU,3:3-7,
,,3,DEU,3:8-11,
8,Division of the Land,,,,
,,1,DEU,3:12-17,
,,2,DEU,3:18-20,
9,Moses Forbidden to Cross the Jordan,,,,
,,1,DEU,3:21-22,
,,2,DEU,3:23-25,
,,3,DEU,3:26-29,
10,Obedience Commanded,,,,
,,1,DEU,4:1-2,
,,2,DEU,4:3-4,
,,3,DEU,4:5-8,
,,4,DEU,4:9-14,
11,Idolatry Forbidden,,,,
,,1,DEU,4:15-20,
,,2,DEU,4:21-24,
,,3,DEU,4:25-31,
12,The Lord Is God,,,,
,,1,DEU,4:32-34,
,,2,DEU,4:35-38,
,,3,DEU,4:39-40,
13,Cities of Refuge,,,,
,,1,DEU,4:41-43,
14,Introduction to the Law,,,,
,,1,DEU,4:44-49,
15,The Ten Commandments,,,,
,,1,DEU,5:1-1,
,,2,DEU,5:2-5,
,,3,DEU,5:7-7,
,,4,DEU,5:8-10,
,,5,DEU,5:11-11,
,,6,DEU,5:12-15,
,,7,DEU,5:16-16,
,,8,DEU,5:17-17,
,,9,DEU,5:18-18,
,,10,DEU,5:19-19,
,,11,DEU,5:20-20,
,,12,DEU,5:21-21,
,,13,DEU,5:22-22,
