Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Lord Commands Joshua,,,,
,,1,JOS,1:1-5,
,,2,JOS,1:6-9,
,,3,JOS,1:10-11,
,,4,JOS,1:12-15,
,,5,JOS,1:16-18,
2,Rahab and the Spies,,,,
,,1,JOS,2:1-1,
,,2,JOS,2:2-3,
,,3,JOS,2:4-7,
,,4,JOS,2:8-13,
,,5,JOS,2:14-14,
,,6,JOS,2:15-16,
,,7,JOS,2:17-20,
,,8,JOS,2:21-21,
,,9,JOS,2:22-24,
3,Crossing the Jordan,,,,
,,1,JOS,3:1-4,
,,2,JOS,3:5-5,
,,3,JOS,3:6-6,
,,4,JOS,3:7-8,
,,5,JOS,3:9-13,
,,6,JOS,3:14-17,
,,7,JOS,4:1-3,
,,8,JOS,4:4-7,
,,9,JOS,4:8-9,
,,10,JOS,4:10-13,
,,11,JOS,4:14-14,
,,12,JOS,4:15-16,
,,13,JOS,4:17-17,
,,14,JOS,4:18-18,
,,15,JOS,4:19-24,
4,Circumcision at Gilgal,,,,
,,1,JOS,5:1-1,
,,2,JOS,5:2-3,
,,3,JOS,5:4-8,
,,4,JOS,5:9-9,
,,5,JOS,5:10-12,
5,The Fall of Jericho,,,,
,,1,JOS,5:13-13,
,,2,JOS,5:14-14,
,,3,JOS,5:15-15,
,,4,JOS,6:1-1,
,,5,JOS,6:2-5,
,,6,JOS,6:6-7,
,,7,JOS,6:8-11,
,,8,JOS,6:12-14,
,,9,JOS,6:15-19,
,,10,JOS,6:20-21,
,,11,JOS,6:22-23,
,,12,JOS,6:24-25,
,,13,JOS,6:26-26,
,,14,JOS,6:27-27,
6,Achan's Sin,,,,
,,1,JOS,7:1-1,
,,2,JOS,7:2-2,
,,3,JOS,7:3-5,
,,4,JOS,7:6-9,
,,5,JOS,7:10-12,
,,6,JOS,7:13-13,
,,7,JOS,7:14-15,
,,8,JOS,7:16-18,
,,9,JOS,7:19-19,
,,10,JOS,7:20-21,
,,11,JOS,7:22-23,
,,12,JOS,7:24-25,
,,13,JOS,7:26-26,
7,Ai Destroyed,,,,
,,1,JOS,8:1-2,
,,2,JOS,8:3-8,
,,3,JOS,8:9-9,
,,4,JOS,8:10-13,
