Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Birth of Samuel,,,,
,,1,1SA,1:1-2,
,,2,1SA,1:3-8,
,,3,1SA,1:9-11,
,,4,1SA,1:12-14,
,,5,1SA,1:15-16,
,,6,1SA,1:17-17,
,,7,1SA,1:18-18,
,,8,1SA,1:19-20,
2,Hannah Dedicates Samuel,,,,
,,1,1SA,1:21-22,
,,2,1SA,1:23-23,
,,3,1SA,1:24-28,
3,Hannah's Prayer,,,,
,,1,1SA,2:1-1,
,,2,1SA,2:11-11,
4,Eli's Wicked Sons,,,,
,,1,1SA,2:12-15,
,,2,1SA,2:16-16,
,,3,1SA,2:17-17,
,,4,1SA,2:18-21,
,,5,1SA,2:22-25,
,,6,1SA,2:26-26,
5,Prophecy Against the House of Eli,,,,
,,1,1SA,2:27-29,
,,2,1SA,2:30-33,
,,3,1SA,2:34-36,
6,The Lord Calls Samuel,,,,
,,1,1SA,3:1-1,
,,2,1SA,3:2-4,
,,3,1SA,3:5-5,
,,5,1SA,3:6-6,
,,7,1SA,3:7-7,
,,8,1SA,3:8-8,
,,9,1SA,3:9-9,
,,10,1SA,3:10-10,
,,12,1SA,3:11-14,
,,13,1SA,3:15-16,
,,15,1SA,3:17-18,
,,16,1SA,3:19-21,
,,17,1SA,4:1-1,
7,The Philistines Capture the Ark,,,,
,,1,1SA,4:2-3,
,,2,1SA,4:4-4,
,,3,1SA,4:5-6,
,,4,1SA,4:7-9,
,,5,1SA,4:10-11,
8,Death of Eli,,,,
,,1,1SA,4:12-13,
,,2,1SA,4:14-14,
,,3,1SA,4:15-16,
,,5,1SA,4:17-17,
,,6,1SA,4:18-18,
,,7,1SA,4:19-20,
,,8,1SA,4:21-22,
9,The Ark in Ashdod and Ekron,,,,
,,1,1SA,5:1-5,
,,2,1SA,5:6-8,
,,4,1SA,5:9-10,
,,5,1SA,5:11-12,
10,The Ark Returned to Israel,,,,
,,1,1SA,6:1-2,
,,2,1SA,6:3-3,
,,3,1SA,6:4-4,
,,4,1SA,6:5-6,
,,5,1SA,6:7-9,
,,6,1SA,6:10-12,
,,7,1SA,6:13-16,
,,8,1SA,6:17-18,
,,9,1SA,6:19-20,
,,10,1SA,6:21-21,
,,11,1SA,7:1-1,
11,Samuel Subdues the Philistines at Mizpah,,,,
,,1,1SA,7:2-4,
,,2,1SA,7:5-6,
,,3,1SA,7:7-9,
,,4,1SA,7:10-11,
,,5,1SA,7:12-13,
,,6,1SA,7:14-14,
,,7,1SA,7:15-17,
12,Israel Asks for a King,,,,
,,1,1SA,8:1-3,
,,2,1SA,8:4-5,
,,3,1SA,8:6-9,
,,4,1SA,8:10-18,
,,5,1SA,8:19-20,
,,6,1SA,8:21-22,
13,Samuel Anoints Saul,,,,
,,1,1SA,9:1-2,
,,2,1SA,9:3-4,
,,3,1SA,9:5-5,
,,4,1SA,9:6-6,
,,5,1SA,9:7-7,
,,6,1SA,9:8-9,
,,7,1SA,9:10-10,
,,8,1SA,9:11-11,
,,9,1SA,9:12-13,
,,10,1SA,9:14-14,
,,11,1SA,9:15-16,
,,12,1SA,9:17-17,
,,13,1SA,9:18-18,
,,14,1SA,9:19-20,
,,15,1SA,9:21-21,
,,16,1SA,9:22-23,
,,17,1SA,9:24-24,
,,18,1SA,9:25-27,
,,19,1SA,10:1-2,
,,20,1SA,10:3-4,
,,21,1SA,10:5-7,
,,22,1SA,10:8-8,
14,Saul Made King,,,,
,,1,1SA,10:9-11,
,,2,1SA,10:12-13,
,,3,1SA,10:14-14,
,,5,1SA,10:15-15,
,,6,1SA,10:16-16,
,,7,1SA,10:17-19,
,,8,1SA,10:20-22,
,,10,1SA,10:23-24,
,,12,1SA,10:25-25,
,,13,1SA,10:26-27,
15,Saul Rescues the City of Jabesh,,,,
,,1,1SA,11:1-1,
,,2,1SA,11:2-2,
,,3,1SA,11:3-3,
,,4,1SA,11:4-5,
,,5,1SA,11:6-8,
,,6,1SA,11:9-10,
,,7,1SA,11:11-11,
16,Saul Confirmed as King,,,,
,,1,1SA,11:12-12,
,,2,1SA,11:13-13,
,,3,1SA,11:14-15,
17,Samuel's Farewell Speech,,,,
,,1,1SA,12:1-3,
,,2,1SA,12:4-4,
,,3,1SA,12:5-5,
,,5,1SA,12:6-7,
,,6,1SA,12:8-8,
,,7,1SA,12:9-11,
,,8,1SA,12:12-15,
,,9,1SA,12:16-17,
,,10,1SA,12:18-18,
,,11,1SA,12:19-19,
,,12,1SA,12:20-25,
18,Samuel Rebukes Saul,,,,
,,1,1SA,13:1-1,
,,2,1SA,13:2-2,
,,3,1SA,13:3-4,
,,4,1SA,13:5-7,
,,5,1SA,13:8-10,
,,6,1SA,13:11-11,
,,7,1SA,13:12-12,
,,8,1SA,13:13-14,
,,9,1SA,13:15-15,
19,Israel Without Weapons,,,,
,,1,1SA,13:16-18,
,,2,1SA,13:19-21,
,,3,1SA,13:22-22,
20,Jonathan Attacks the Philistines,,,,
,,1,1SA,13:23-23,
,,2,1SA,14:1-1,
,,3,1SA,14:2-3,
,,4,1SA,14:4-5,
,,5,1SA,14:6-6,
,,6,1SA,14:7-7,
,,7,1SA,14:8-10,
,,8,1SA,14:11-12,
,,10,1SA,14:13-14,
21,Israel Routs the Philistines,,,,
,,1,1SA,14:15-15,
,,2,1SA,14:16-17,
,,3,1SA,14:18-19,
,,4,1SA,14:20-23,
22,Jonathan Eats Honey,,,,
,,1,1SA,14:24-24,
,,2,1SA,14:25-28,
,,3,1SA,14:29-30,
,,4,1SA,14:31-33,
,,5,1SA,14:34-34,
,,6,1SA,14:35-35,
,,7,1SA,14:36-36,
,,10,1SA,14:37-37,
,,11,1SA,14:38-39,
,,12,1SA,14:40-40,
,,14,1SA,14:41-42,
,,15,1SA,14:43-43,
,,17,1SA,14:44-44,
,,18,1SA,14:45-45,
,,19,1SA,14:46-46,
,,20,1SA,14:47-48,
23,Saul's Family,,,,
,,1,1SA,14:49-51,
,,2,1SA,14:52-52,
24,The Lord Rejects Saul as King,,,,
,,1,1SA,15:1-3,
,,2,1SA,15:4-6,
,,3,1SA,15:7-9,
,,4,1SA,15:10-11,
,,5,1SA,15:12-12,
,,6,1SA,15:13-13,
,,7,1SA,15:14-14,
,,8,1SA,15:15-15,
,,9,1SA,15:16-16,
,,11,1SA,15:17-19,
,,12,1SA,15:20-21,
,,13,1SA,15:22-22,
,,14,1SA,15:24-25,
,,15,1SA,15:26-26,
,,16,1SA,15:27-29,
,,17,1SA,15:30-31,
,,18,1SA,15:32-32,
,,20,1SA,15:33-33,
,,21,1SA,15:34-35,
25,Samuel Anoints David,,,,
,,1,1SA,16:1-1,
,,2,1SA,16:2-2,
,,3,1SA,16:3-3,
,,4,1SA,16:4-4,
,,5,1SA,16:5-5,
,,6,1SA,16:6-6,
,,7,1SA,16:7-7,
,,8,1SA,16:8-11,
,,11,1SA,16:12-12,
,,13,1SA,16:13-13,
26,David in Saul's Service,,,,
,,1,1SA,16:14-14,
,,2,1SA,16:15-16,
,,3,1SA,16:17-17,
,,4,1SA,16:18-18,
,,5,1SA,16:19-20,
,,6,1SA,16:21-22,
,,7,1SA,16:23-23,
27,David and Goliath,,,,
,,1,1SA,17:1-3,
,,2,1SA,17:4-7,
,,3,1SA,17:8-11,
,,4,1SA,17:12-15,
,,5,1SA,17:16-16,
,,6,1SA,17:17-19,
,,7,1SA,17:20-24,
,,8,1SA,17:25-25,
,,9,1SA,17:26-26,
,,10,1SA,17:27-27,
,,11,1SA,17:28-28,
,,12,1SA,17:29-31,
,,13,1SA,17:32-32,
,,14,1SA,17:33-33,
,,15,1SA,17:34-37,
,,17,1SA,17:38-39,
,,18,1SA,17:40-40,
,,19,1SA,17:41-44,
,,20,1SA,17:45-47,
,,21,1SA,17:48-49,
,,22,1SA,17:50-50,
,,23,1SA,17:51-51,
,,24,1SA,17:52-54,
,,25,1SA,17:55-55,
,,27,1SA,17:56-56,
,,28,1SA,17:57-57,
,,29,1SA,17:58-58,
28,Saul's Jealousy of David,,,,
,,1,1SA,18:1-4,
,,2,1SA,18:5-5,
,,3,1SA,18:6-7,
,,4,1SA,18:8-9,
,,5,1SA,18:10-11,
,,6,1SA,18:12-16,
,,7,1SA,18:17-17,
,,8,1SA,18:18-19,
,,9,1SA,18:20-21,
,,10,1SA,18:22-22,
,,11,1SA,18:23-23,
,,12,1SA,18:24-25,
,,13,1SA,18:26-27,
,,14,1SA,18:28-29,
,,15,1SA,18:30-30,
29,Saul Tries to Kill David,,,,
,,1,1SA,19:1-3,
,,2,1SA,19:4-5,
,,3,1SA,19:6-6,
,,4,1SA,19:7-7,
,,5,1SA,19:8-8,
,,6,1SA,19:9-10,
,,7,1SA,19:11-13,
,,8,1SA,19:14-14,
,,9,1SA,19:15-16,
,,10,1SA,19:17-17,
,,12,1SA,19:18-22,
,,14,1SA,19:23-24,
30,David and Jonathan,,,,
,,1,1SA,20:1-1,
,,2,1SA,20:2-2,
,,3,1SA,20:3-3,
,,4,1SA,20:4-4,
,,5,1SA,20:5-8,
,,6,1SA,20:9-9,
,,7,1SA,20:10-10,
,,8,1SA,20:11-11,
,,9,1SA,20:12-15,
,,10,1SA,20:16-17,
,,11,1SA,20:18-23,
,,12,1SA,20:24-27,
,,13,1SA,20:28-29,
,,14,1SA,20:30-31,
,,15,1SA,20:32-33,
,,16,1SA,20:34-34,
,,17,1SA,20:35-40,
,,18,1SA,20:41-41,
,,19,1SA,20:42-42,
31,David at Nob,,,,
,,1,1SA,21:1-1,
,,2,1SA,21:2-3,
,,3,1SA,21:4-4,
,,4,1SA,21:5-6,
,,5,1SA,21:7-7,
,,6,1SA,21:8-8,
,,7,1SA,21:9-9,
32,David at Gath,,,,
,,1,1SA,21:10-11,
,,2,1SA,21:12-13,
,,3,1SA,21:14-15,
33,David at Adullam and Mizpah,,,,
,,1,1SA,22:1-2,
,,2,1SA,22:3-4,
,,3,1SA,22:5-5,
34,Saul Kills the Priests of Nob,,,,
,,1,1SA,22:6-8,
,,2,1SA,22:9-10,
,,3,1SA,22:11-12,
,,5,1SA,22:13-13,
,,6,1SA,22:14-15,
,,7,1SA,22:16-16,
,,8,1SA,22:17-17,
,,10,1SA,22:18-19,
,,11,1SA,22:20-23,
35,David Saves Keilah,,,,
,,1,1SA,23:1-2,
,,3,1SA,23:3-3,
,,4,1SA,23:4-6,
36,Saul Pursues David,,,,
,,1,1SA,23:7-8,
,,2,1SA,23:9-11,
,,4,1SA,23:12-12,
,,6,1SA,23:13-13,
,,7,1SA,23:14-14,
,,8,1SA,23:15-18,
,,9,1SA,23:19-20,
,,10,1SA,23:21-23,
,,11,1SA,23:24-25,
,,12,1SA,23:26-29,
37,David Spares Saul's Life,,,,
,,1,1SA,24:1-2,
,,2,1SA,24:3-4,
,,3,1SA,24:5-7,
,,4,1SA,24:8-13,
,,5,1SA,24:14-15,
,,6,1SA,24:16-21,
,,7,1SA,24:22-22,
38,David, Nabal and Abigail,,,,
,,1,1SA,25:1-1,
,,2,1SA,25:2-3,
,,3,1SA,25:4-6,
,,4,1SA,25:7-8,
,,5,1SA,25:9-9,
,,6,1SA,25:10-11,
,,7,1SA,25:12-13,
,,8,1SA,25:14-17,
,,9,1SA,25:18-19,
,,10,1SA,25:20-22,
,,11,1SA,25:23-25,
,,12,1SA,25:26-31,
,,13,1SA,25:32-34,
,,14,1SA,25:35-35,
,,15,1SA,25:36-38,
,,16,1SA,25:39-39,
,,17,1SA,25:40-40,
,,18,1SA,25:41-44,
39,David Again Spares Saul's Life,,,,
,,1,1SA,26:1-1,
,,2,1SA,26:2-4,
,,3,1SA,26:5-5,
,,4,1SA,26:6-6,
,,6,1SA,26:7-7,
,,7,1SA,26:8-8,
,,8,1SA,26:9-11,
,,9,1SA,26:12-12,
,,10,1SA,26:13-14,
,,12,1SA,26:15-16,
,,13,1SA,26:17-17,
,,14,1SA,26:18-20,
,,15,1SA,26:21-21,
,,16,1SA,26:22-24,
,,17,1SA,26:25-25,
40,David Among the Philistines,,,,
,,1,1SA,27:1-1,
,,2,1SA,27:2-4,
,,3,1SA,27:5-5,
,,4,1SA,27:6-7,
,,5,1SA,27:8-9,
,,6,1SA,27:10-12,
41,Saul and the Witch of Endor,,,,
,,1,1SA,28:1-1,
,,2,1SA,28:2-2,
,,4,1SA,28:3-3,
,,5,1SA,28:4-7,
,,7,1SA,28:8-8,
,,8,1SA,28:9-9,
,,9,1SA,28:10-10,
,,10,1SA,28:11-11,
,,12,1SA,28:12-12,
,,13,1SA,28:13-13,
,,15,1SA,28:14-14,
,,18,1SA,28:15-15,
,,20,1SA,28:16-19,
,,21,1SA,28:20-20,
,,22,1SA,28:21-22,
,,23,1SA,28:23-23,
,,25,1SA,28:24-25,
42,Achish Sends David Back to Ziklag,,,,
,,1,1SA,29:1-3,
,,3,1SA,29:4-5,
,,4,1SA,29:6-7,
,,5,1SA,29:8-8,
,,6,1SA,29:9-10,
,,7,1SA,29:11-11,
43,David Destroys the Amalekites,,,,
,,1,1SA,30:1-2,
,,2,1SA,30:3-6,
,,3,1SA,30:7-8,
,,5,1SA,30:9-10,
,,6,1SA,30:11-12,
,,7,1SA,30:13-13,
,,8,1SA,30:14-14,
,,9,1SA,30:15-15,
,,11,1SA,30:16-20,
,,12,1SA,30:21-22,
,,13,1SA,30:23-25,
,,14,1SA,30:26-26,
,,15,1SA,30:27-31,
44,Saul Takes His Life,,,,
,,1,1SA,31:1-3,
,,2,1SA,31:4-4,
,,3,1SA,31:5-6,
,,4,1SA,31:7-7,
,,5,1SA,31:8-10,
,,6,1SA,31:11-13,
