Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Lord's Judgment on Ahaziah,,,,
,,1,2KI,1:1-2,
,,2,2KI,1:3-4,
,,3,2KI,1:5-5,
,,4,2KI,1:6-6,
,,5,2KI,1:7-7,
,,6,2KI,1:8-8,
,,8,2KI,1:9-9,
,,9,2KI,1:10-10,
,,10,2KI,1:11-11,
,,11,2KI,1:12-12,
,,12,2KI,1:13-14,
,,13,2KI,1:15-15,
,,14,2KI,1:16-17,
,,15,2KI,1:18-18,
2,Elijah Taken Up to Heaven,,,,
,,1,2KI,2:1-2,
,,3,2KI,2:3-3,
,,5,2KI,2:4-4,
,,7,2KI,2:5-5,
,,9,2KI,2:6-6,
,,11,2KI,2:7-8,
,,12,2KI,2:9-9,
,,14,2KI,2:10-10,
,,15,2KI,2:11-12,
,,16,2KI,2:13-14,
,,17,2KI,2:15-16,
,,19,2KI,2:17-18,
3,Healing of the Water,,,,
,,1,2KI,2:19-19,
,,2,2KI,2:20-20,
,,3,2KI,2:21-22,
4,Elisha Is Jeered,,,,
,,1,2KI,2:23-25,
5,Moab Revolts,,,,
,,1,2KI,3:1-3,
,,2,2KI,3:4-7,
,,4,2KI,3:8-8,
,,6,2KI,3:9-9,
,,7,2KI,3:10-10,
,,8,2KI,3:11-11,
,,10,2KI,3:12-12,
,,11,2KI,3:13-13,
,,13,2KI,3:14-15,
,,14,2KI,3:16-19,
,,15,2KI,3:20-20,
,,16,2KI,3:21-23,
,,17,2KI,3:24-25,
,,18,2KI,3:26-27,
6,The Widow's Oil,,,,
,,1,2KI,4:1-1,
,,2,2KI,4:2-2,
,,4,2KI,4:3-4,
,,5,2KI,4:5-6,
,,7,2KI,4:7-7,
7,The Shunammite's Son Restored to Life,,,,
,,1,2KI,4:8-10,
,,2,2KI,4:11-13,
,,4,2KI,4:14-14,
,,6,2KI,4:15-16,
,,8,2KI,4:17-17,
,,9,2KI,4:18-19,
,,10,2KI,4:20-21,
,,11,2KI,4:22-22,
,,12,2KI,4:23-23,
,,14,2KI,4:24-25,
,,15,2KI,4:26-26,
,,17,2KI,4:27-27,
,,18,2KI,4:28-28,
,,19,2KI,4:29-29,
,,20,2KI,4:30-30,
,,21,2KI,4:31-31,
,,22,2KI,4:32-35,
,,23,2KI,4:36-37,
8,Death in the Pot,,,,
,,1,2KI,4:38-38,
,,2,2KI,4:39-40,
,,3,2KI,4:41-41,
9,Feeding of a Hundred,,,,
,,1,2KI,4:42-42,
,,2,2KI,4:43-43,
,,3,2KI,4:44-44,
10,Naaman Healed of Leprosy,,,,
,,1,2KI,5:1-1,
,,2,2KI,5:2-3,
,,3,2KI,5:4-6,
,,4,2KI,5:7-7,
,,5,2KI,5:8-10,
,,6,2KI,5:11-12,
,,7,2KI,5:13-14,
,,8,2KI,5:15-15,
,,9,2KI,5:16-16,
,,10,2KI,5:17-18,
,,11,2KI,5:19-19,
,,12,2KI,5:20-20,
,,13,2KI,5:21-21,
,,14,2KI,5:22-22,
,,15,2KI,5:23-25,
,,18,2KI,5:26-27,
11,An Axhead Floats,,,,
,,1,2KI,6:1-2,
,,3,2KI,6:3-3,
,,4,2KI,6:4-4,
,,5,2KI,6:5-5,
,,6,2KI,6:6-7,
12,Elisha Traps Blinded Arameans,,,,
,,1,2KI,6:8-8,
,,2,2KI,6:9-10,
,,3,2KI,6:11-11,
,,4,2KI,6:12-12,
,,5,2KI,6:13-14,
,,6,2KI,6:15-15,
,,7,2KI,6:16-16,
,,8,2KI,6:17-17,
,,9,2KI,6:18-18,
,,10,2KI,6:19-19,
,,11,2KI,6:20-20,
,,12,2KI,6:21-21,
,,13,2KI,6:22-23,
13,Famine in Besieged Samaria,,,,
,,1,2KI,6:24-25,
,,2,2KI,6:26-26,
,,3,2KI,6:27-28,
,,4,2KI,6:29-29,
,,5,2KI,6:30-31,
,,6,2KI,6:32-32,
,,7,2KI,6:33-33,
,,8,2KI,7:1-1,
,,9,2KI,7:2-2,
14,The Siege Lifted,,,,
,,1,2KI,7:3-4,
,,2,2KI,7:5-7,
,,3,2KI,7:8-8,
,,4,2KI,7:9-9,
,,5,2KI,7:10-11,
,,6,2KI,7:12-12,
,,7,2KI,7:13-13,
,,8,2KI,7:14-16,
,,9,2KI,7:17-18,
,,10,2KI,7:19-20,
15,The Shunammite's Land Restored,,,,
,,1,2KI,8:1-2,
,,2,2KI,8:3-5,
,,3,2KI,8:6-6,
16,Hazael Murders Ben-Hadad,,,,
,,1,2KI,8:7-8,
,,2,2KI,8:9-9,
,,3,2KI,8:10-11,
,,4,2KI,8:12-12,
,,6,2KI,8:13-13,
,,8,2KI,8:14-15,
17,Jehoram King of Judah,,,,
,,1,2KI,8:16-19,
,,2,2KI,8:20-22,
,,3,2KI,8:23-24,
18,Ahaziah King of Judah,,,,
,,1,2KI,8:25-27,
,,2,2KI,8:28-29,
19,Jehu Anointed King of Israel,,,,
,,1,2KI,9:1-3,
,,2,2KI,9:4-5,
,,5,2KI,9:6-10,
,,6,2KI,9:11-11,
,,8,2KI,9:12-12,
,,10,2KI,9:13-13,
20,Jehu Kills Joram and Ahaziah,,,,
,,1,2KI,9:14-16,
,,2,2KI,9:17-17,
,,4,2KI,9:18-18,
,,7,2KI,9:19-19,
,,9,2KI,9:20-20,
,,10,2KI,9:21-22,
,,12,2KI,9:23-23,
,,13,2KI,9:24-26,
,,14,2KI,9:27-29,
21,Jezebel Killed,,,,
,,1,2KI,9:30-31,
,,2,2KI,9:32-33,
,,3,2KI,9:34-37,
22,Ahab's Family Killed,,,,
,,1,2KI,10:1-3,
,,2,2KI,10:4-4,
,,3,2KI,10:5-5,
,,4,2KI,10:6-6,
,,5,2KI,10:7-8,
,,7,2KI,10:9-11,
,,8,2KI,10:12-13,
,,10,2KI,10:14-14,
,,11,2KI,10:15-15,
,,13,2KI,10:16-16,
,,14,2KI,10:17-17,
23,Ministers of Baal Killed,,,,
,,1,2KI,10:18-19,
,,2,2KI,10:20-22,
,,3,2KI,10:23-24,
,,4,2KI,10:25-27,
