Set #,Title in NIV,Passage,Book,Breaks,Description
1,Historical Records From Adam to Abraham,,,,
2,To Noah's Sons,,,,
,,1,1CH,1:1-3,
,,2,1CH,1:4-4,
3,The Japhethites,,,,
,,1,1CH,1:5-5,
,,3,1CH,1:6-6,
,,5,1CH,1:7-7,
4,The Hamites,,,,
,,1,1CH,1:8-8,
,,3,1CH,1:9-9,
,,7,1CH,1:10-10,
,,9,1CH,1:11-11,
,,10,1CH,1:12-12,
,,11,1CH,1:13-13,
,,12,1CH,1:14-16,
5,The Semites,,,,
,,1,1CH,1:17-17,
,,5,1CH,1:18-18,
,,7,1CH,1:19-19,
,,9,1CH,1:20-20,
,,10,1CH,1:21-23,
,,11,1CH,1:24-24,
,,12,1CH,1:25-25,
,,13,1CH,1:26-26,
,,14,1CH,1:27-27,
6,The Family of Abraham,,,,
,,1,1CH,1:28-28,
7,Descendants of Hagar,,,,
,,1,1CH,1:29-29,
,,2,1CH,1:30-31,
8,Descendants of Keturah,,,,
,,1,1CH,1:32-32,
,,5,1CH,1:33-33,
9,Descendants of Sarah,,,,
,,1,1CH,1:34-34,
10,Esau's Sons,,,,
,,1,1CH,1:35-35,
,,3,1CH,1:36-36,
,,6,1CH,1:37-37,
11,The People of Seir in Edom,,,,
,,1,1CH,1:38-38,
,,3,1CH,1:39-39,
,,5,1CH,1:40-40,
,,9,1CH,1:41-41,
,,13,1CH,1:42-42,
12,The Rulers of Edom,,,,
,,1,1CH,1:43-43,
,,3,1CH,1:44-44,
,,4,1CH,1:45-45,
,,5,1CH,1:46-46,
,,6,1CH,1:47-47,
,,7,1CH,1:48-48,
,,8,1CH,1:49-49,
,,9,1CH,1:50-51,
,,11,1CH,1:52-54,
13,Israel's Sons,,,,
,,1,1CH,2:1-1,
,,2,1CH,2:2-2,
14,Judah,,,,
15,To Hezron's Sons,,,,
,,1,1CH,2:3-3,
,,2,1CH,2:4-4,
,,3,1CH,2:5-5,
,,5,1CH,2:6-6,
,,7,1CH,2:7-7,
,,9,1CH,2:8-8,
,,11,1CH,2:9-9,
16,From Ram Son of Hezron,,,,
,,1,1CH,2:10-10,
,,2,1CH,2:11-12,
,,3,1CH,2:13-13,
,,4,1CH,2:14-17,
17,Caleb Son of Hezron,,,,
,,1,1CH,2:18-20,
,,2,1CH,2:21-23,
,,3,1CH,2:24-24,
18,Jerahmeel Son of Hezron,,,,
,,1,1CH,2:25-25,
,,2,1CH,2:26-26,
,,3,1CH,2:27-27,
,,5,1CH,2:28-28,
,,9,1CH,2:29-29,
,,10,1CH,2:30-30,
,,12,1CH,2:31-31,
,,15,1CH,2:32-32,
,,17,1CH,2:33-33,
,,20,1CH,2:34-34,
,,21,1CH,2:35-35,
,,22,1CH,2:36-36,
,,24,1CH,2:37-37,
,,26,1CH,2:38-38,
,,28,1CH,2:39-39,
,,30,1CH,2:40-40,
,,32,1CH,2:41-41,
19,The Clans of Caleb,,,,
,,1,1CH,2:42-42,
,,3,1CH,2:43-43,
,,4,1CH,2:44-45,
,,5,1CH,2:46-46,
,,6,1CH,2:47-47,
,,8,1CH,2:48-50,
,,10,1CH,2:51-51,
,,11,1CH,2:52-52,
,,12,1CH,2:53-53,
,,13,1CH,2:54-54,
,,14,1CH,2:55-55,
20,The Sons of David,,,,
,,1,1CH,3:1-1,
,,4,1CH,3:2-2,
,,6,1CH,3:3-3,
,,8,1CH,3:4-4,
,,9,1CH,3:6-9,
21,The Kings of Judah,,,,
,,1,1CH,3:10-10,
,,5,1CH,3:11-11,
,,8,1CH,3:12-12,
,,11,1CH,3:13-13,
,,14,1CH,3:14-14,
,,16,1CH,3:15-15,
,,21,1CH,3:16-16,
22,The Royal Line After the Exile,,,,
,,1,1CH,3:17-17,
,,2,1CH,3:18-18,
,,3,1CH,3:19-19,
,,8,1CH,3:20-20,
,,10,1CH,3:21-21,
,,12,1CH,3:22-22,
,,15,1CH,3:23-23,
,,17,1CH,3:24-24,
23,Other Clans of Judah,,,,
,,1,1CH,4:1-1,
,,3,1CH,4:2-2,
,,4,1CH,4:3-3,
,,5,1CH,4:4-4,
,,7,1CH,4:5-5,
,,8,1CH,4:6-6,
,,9,1CH,4:7-7,
,,10,1CH,4:8-8,
,,11,1CH,4:9-10,
,,12,1CH,4:11-12,
,,13,1CH,4:13-13,
,,16,1CH,4:14-14,
,,19,1CH,4:15-15,
,,23,1CH,4:16-16,
,,25,1CH,4:17-17,
,,26,1CH,4:18-18,
,,27,1CH,4:19-19,
,,29,1CH,4:20-20,
,,33,1CH,4:21-21,
,,34,1CH,4:22-23,
24,Simeon,,,,
,,1,1CH,4:24-24,
,,3,1CH,4:25-25,
,,4,1CH,4:26-26,
