Set #,Title in NIV,Passage,Book,Breaks,Description
1,Cyrus Helps the Exiles to Return,,,,
,,1,EZR,1:1-1,
,,2,EZR,1:2-2,
,,3,EZR,1:3-4,
,,4,EZR,1:5-8,
,,5,EZR,1:9-9,
,,6,EZR,1:11-11,
2,The List of the Exiles Who Returned,,,,
,,1,EZR,2:1-2,
,,3,EZR,2:36-36,
,,4,EZR,2:40-40,
,,5,EZR,2:41-41,
,,6,EZR,2:42-42,
,,7,EZR,2:43-43,
,,10,EZR,2:44-44,
,,11,EZR,2:45-45,
,,12,EZR,2:46-46,
,,13,EZR,2:47-47,
,,14,EZR,2:48-48,
,,15,EZR,2:49-49,
,,16,EZR,2:50-50,
,,17,EZR,2:51-51,
,,18,EZR,2:52-52,
,,19,EZR,2:53-53,
,,20,EZR,2:54-54,
,,21,EZR,2:55-55,
,,24,EZR,2:56-56,
,,25,EZR,2:57-57,
,,27,EZR,2:59-59,
,,28,EZR,2:61-61,
,,31,EZR,2:62-63,
,,32,EZR,2:64-67,
,,33,EZR,2:68-69,
,,34,EZR,2:70-70,
3,Rebuilding the Altar,,,,
,,1,EZR,3:1-6,
4,Rebuilding the Temple,,,,
,,1,EZR,3:7-7,
,,2,EZR,3:8-9,
,,3,EZR,3:10-11,
5,Opposition to the Rebuilding,,,,
,,1,EZR,4:1-2,
,,2,EZR,4:3-3,
,,3,EZR,4:4-5,
6,Later Opposition Under Xerxes and Artaxerxes,,,,
,,1,EZR,4:6-6,
,,2,EZR,4:7-7,
,,3,EZR,4:8-8,
,,4,EZR,4:11-11,
,,5,EZR,4:12-12,
,,6,EZR,4:13-16,
,,7,EZR,4:17-17,
,,10,EZR,4:18-22,
,,11,EZR,4:23-23,
,,12,EZR,4:24-24,
7,Tattenai's Letter to Darius,,,,
,,1,EZR,5:1-2,
,,2,EZR,5:3-5,
,,3,EZR,5:6-7,
,,6,EZR,5:8-8,
,,7,EZR,5:9-10,
,,8,EZR,5:11-11,
,,9,EZR,5:12-12,
,,10,EZR,5:13-14,
,,11,EZR,5:15-16,
,,12,EZR,5:17-17,
8,The Decree of Darius,,,,
,,1,EZR,6:1-2,
,,3,EZR,6:3-3,
,,4,EZR,6:4-5,
,,5,EZR,6:6-7,
,,6,EZR,6:8-8,
,,7,EZR,6:9-10,
,,8,EZR,6:11-12,
9,Completion and Dedication of the Temple,,,,
,,1,EZR,6:13-15,
,,2,EZR,6:16-18,
10,The Passover,,,,
,,1,EZR,6:19-22,
11,Ezra Comes to Jerusalem,,,,
,,1,EZR,7:1-7,
,,2,EZR,7:8-10,
12,King Artaxerxes' Letter to Ezra,,,,
,,1,EZR,7:11-11,
,,2,EZR,7:12-12,
,,5,EZR,7:13-17,
,,6,EZR,7:18-20,
,,7,EZR,7:21-24,
,,8,EZR,7:25-26,
,,9,EZR,7:27-28,
13,List of the Family Heads Returning With Ezra,,,,
,,1,EZR,8:1-1,
,,2,EZR,8:2-2,
,,4,EZR,8:3-3,
,,6,EZR,8:4-4,
,,7,EZR,8:5-5,
,,8,EZR,8:6-6,
,,9,EZR,8:7-7,
,,10,EZR,8:8-8,
,,11,EZR,8:9-9,
,,12,EZR,8:10-10,
,,13,EZR,8:11-11,
,,14,EZR,8:12-12,
,,15,EZR,8:13-13,
,,16,EZR,8:14-14,
14,The Return to Jerusalem,,,,
,,1,EZR,8:15-20,
,,2,EZR,8:21-23,
,,3,EZR,8:24-27,
,,4,EZR,8:28-30,
,,5,EZR,8:31-32,
,,6,EZR,8:33-34,
,,7,EZR,8:35-36,
15,Ezra's Prayer About Intermarriage,,,,
,,1,EZR,9:1-2,
,,2,EZR,9:3-4,
,,3,EZR,9:5-6,
,,4,EZR,9:7-7,
,,5,EZR,9:8-9,
,,6,EZR,9:10-12,
,,7,EZR,9:13-15,
16,The People's Confession of Sin,,,,
,,1,EZR,10:1-4,
,,2,EZR,10:5-6,
,,3,EZR,10:7-8,
,,4,EZR,10:9-11,
,,5,EZR,10:12-15,
,,6,EZR,10:16-17,
17,Those Guilty of Intermarriage,,,,
,,1,EZR,10:18-18,
,,2,EZR,10:19-19,
,,3,EZR,10:20-20,
,,5,EZR,10:21-21,
,,7,EZR,10:22-22,
,,9,EZR,10:23-23,
,,11,EZR,10:24-24,
,,15,EZR,10:25-25,
,,18,EZR,10:26-26,
,,20,EZR,10:27-27,
,,22,EZR,10:28-28,
,,24,EZR,10:29-29,
,,26,EZR,10:30-30,
,,28,EZR,10:31-31,
,,29,EZR,10:32-32,
,,30,EZR,10:33-33,
,,32,EZR,10:34-34,
,,33,EZR,10:35-37,
,,34,EZR,10:38-38,
,,35,EZR,10:39-42,
,,36,EZR,10:43-43,
,,38,EZR,10:44-44,
