Set #,Title in NIV,Passage,Book,Breaks,Description
1,,,,,
,,1,PSA,1:1-1,
,,2,PSA,1:2-2,
,,3,PSA,1:3-3,
,,4,PSA,1:4-4,
,,5,PSA,1:5-5,
2,,,,,
,,1,PSA,1:6-6,
3,,,,,
,,1,PSA,2:1-1,
,,2,PSA,2:2-2,
,,3,PSA,2:3-3,
4,,,,,
,,1,PSA,2:4-4,
,,2,PSA,2:5-5,
,,3,PSA,2:6-6,
,,4,PSA,2:7-7,
,,5,PSA,2:8-8,
,,6,PSA,2:9-9,
5,,,,,
,,1,PSA,2:10-10,
,,2,PSA,2:11-11,
,,3,PSA,2:12-12,
6,,,,,
,,1,PSA,3:1-1,
,,2,PSA,3:2-2,
7,,,,,
,,1,PSA,3:3-3,
,,2,PSA,3:4-4,
8,,,,,
,,1,PSA,3:5-5,
,,2,PSA,3:6-6,
9,,,,,
,,1,PSA,3:7-7,
10,,,,,
,,1,PSA,3:8-8,
11,,,,,
,,1,PSA,4:1-1,
12,,,,,
,,1,PSA,4:2-2,
,,2,PSA,4:3-3,
13,,,,,
,,1,PSA,4:4-4,
,,2,PSA,4:5-5,
14,,,,,
,,1,PSA,4:6-6,
,,2,PSA,4:7-7,
,,3,PSA,4:8-8,
15,,,,,
,,1,PSA,5:1-1,
,,2,PSA,5:2-2,
,,3,PSA,5:3-3,
16,,,,,
,,1,PSA,5:4-4,
,,2,PSA,5:5-5,
,,3,PSA,5:6-6,
17,,,,,
,,1,PSA,5:7-7,
,,2,PSA,5:8-8,
18,,,,,
,,1,PSA,5:9-9,
,,2,PSA,5:10-10,
19,,,,,
,,1,PSA,5:11-11,
,,2,PSA,5:12-12,
20,,,,,
,,1,PSA,6:1-1,
,,2,PSA,6:2-2,
,,3,PSA,6:3-3,
21,,,,,
,,1,PSA,6:4-4,
,,2,PSA,6:5-5,
22,,,,,
,,1,PSA,6:6-6,
,,2,PSA,6:7-7,
23,,,,,
,,1,PSA,6:8-8,
,,2,PSA,6:9-9,
,,3,PSA,6:10-10,
24,,,,,
,,1,PSA,7:1-1,
,,2,PSA,7:2-2,
25,,,,,
,,1,PSA,7:3-3,
,,2,PSA,7:4-4,
,,3,PSA,7:5-5,
26,,,,,
,,1,PSA,7:6-6,
,,2,PSA,7:7-7,
,,3,PSA,7:9-9,
27,,,,,
,,1,PSA,7:10-10,
,,2,PSA,7:11-11,
,,3,PSA,7:12-12,
,,4,PSA,7:13-13,
28,,,,,
,,1,PSA,7:14-14,
,,2,PSA,7:15-15,
,,3,PSA,7:16-16,
29,,,,,
,,1,PSA,7:17-17,
30,,,,,
,,1,PSA,8:1-1,
31,,,,,
,,1,PSA,8:2-2,
32,,,,,
,,1,PSA,8:3-3,
,,2,PSA,8:4-4,
,,3,PSA,8:5-5,
33,,,,,
,,1,PSA,8:6-6,
,,2,PSA,8:7-7,
,,3,PSA,8:8-8,
34,,,,,
,,1,PSA,8:9-9,
35,,,,,
,,1,PSA,9:1-1,
,,2,PSA,9:2-2,
36,,,,,
,,1,PSA,9:3-3,
,,2,PSA,9:4-4,
,,3,PSA,9:5-5,
,,4,PSA,9:6-6,
37,,,,,
,,1,PSA,9:7-7,
,,2,PSA,9:8-8,
,,3,PSA,9:9-9,
,,4,PSA,9:10-10,
38,,,,,
,,1,PSA,9:11-11,
,,2,PSA,9:12-12,
39,,,,,
,,1,PSA,9:13-13,
,,2,PSA,9:14-14,
,,3,PSA,9:15-15,
,,4,PSA,9:16-16,
,,5,PSA,9:17-17,
,,6,PSA,9:18-18,
40,,,,,
,,1,PSA,9:19-19,
,,2,PSA,9:20-20,
41,,,,,
,,1,PSA,10:1-1,
42,,,,,
,,1,PSA,10:2-2,
,,2,PSA,10:3-3,
,,3,PSA,10:4-4,
,,4,PSA,10:5-5,
,,5,PSA,10:6-6,
,,6,PSA,10:7-7,
,,7,PSA,10:8-8,
,,8,PSA,10:9-9,
,,9,PSA,10:10-10,
,,10,PSA,10:11-11,
43,,,,,
,,1,PSA,10:12-12,
,,2,PSA,10:13-13,
,,3,PSA,10:14-14,
,,4,PSA,10:15-15,
44,,,,,
,,1,PSA,10:16-16,
,,2,PSA,10:17-17,
,,3,PSA,10:18-18,
45,,,,,
,,1,PSA,11:1-1,
,,2,PSA,11:2-2,
,,3,PSA,11:3-3,
46,,,,,
,,1,PSA,11:4-4,
,,2,PSA,11:5-5,
,,3,PSA,11:6-6,
47,,,,,
,,1,PSA,11:7-7,
48,,,,,
,,1,PSA,12:1-1,
,,2,PSA,12:2-2,
49,,,,,
,,1,PSA,12:3-3,
,,2,PSA,12:4-4,
50,,,,,
,,1,PSA,12:5-5,
,,2,PSA,12:6-6,
51,,,,,
,,1,PSA,12:7-7,
,,2,PSA,12:8-8,
52,,,,,
