Set #,Title in NIV,Passage,Book,Breaks,Description
1,Prologue: Purpose and Theme,,,,
,,1,PRO,1:1-1,
,,2,PRO,1:2-2,
,,3,PRO,1:3-3,
,,4,PRO,1:4-4,
,,5,PRO,1:5-5,
,,6,PRO,1:6-6,
2,,,,,
,,1,PRO,1:7-7,
3,Warning Against Enticement,,,,
,,1,PRO,1:8-8,
,,2,PRO,1:9-9,
4,,,,,
,,1,PRO,1:10-10,
,,2,PRO,1:11-11,
,,3,PRO,1:12-12,
,,4,PRO,1:13-13,
,,5,PRO,1:14-14,
,,6,PRO,1:15-15,
,,7,PRO,1:16-16,
,,8,PRO,1:17-17,
,,9,PRO,1:18-18,
,,10,PRO,1:19-19,
5,Warning Against Rejecting Wisdom,,,,
,,1,PRO,1:20-20,
,,2,PRO,1:21-21,
6,,,,,
,,1,PRO,1:22-22,
,,2,PRO,1:23-23,
,,3,PRO,1:24-24,
,,4,PRO,1:25-25,
,,5,PRO,1:26-26,
,,6,PRO,1:27-27,
7,,,,,
,,1,PRO,1:28-28,
,,2,PRO,1:29-29,
,,3,PRO,1:30-30,
,,4,PRO,1:31-31,
,,5,PRO,1:32-32,
,,6,PRO,1:33-33,
8,Moral Benefits of Wisdom,,,,
,,1,PRO,2:1-1,
,,2,PRO,2:2-2,
,,3,PRO,2:3-3,
,,4,PRO,2:4-4,
,,5,PRO,2:5-5,
,,6,PRO,2:6-6,
,,7,PRO,2:7-7,
,,8,PRO,2:8-8,
,,9,PRO,2:9-9,
,,10,PRO,2:10-10,
,,11,PRO,2:11-11,
,,12,PRO,2:12-12,
,,13,PRO,2:13-13,
,,14,PRO,2:14-14,
,,15,PRO,2:15-15,
9,,,,,
,,1,PRO,2:16-16,
,,2,PRO,2:17-17,
,,3,PRO,2:18-18,
,,4,PRO,2:19-19,
10,,,,,
,,1,PRO,2:20-20,
,,2,PRO,2:21-21,
,,3,PRO,2:22-22,
11,Further Benefits of Wisdom,,,,
,,1,PRO,3:1-1,
,,2,PRO,3:2-2,
,,3,PRO,3:3-3,
,,4,PRO,3:4-4,
12,,,,,
,,1,PRO,3:5-5,
,,2,PRO,3:6-6,
13,,,,,
,,1,PRO,3:7-7,
,,2,PRO,3:8-8,
14,,,,,
,,1,PRO,3:9-9,
,,2,PRO,3:10-10,
15,,,,,
,,1,PRO,3:11-11,
,,2,PRO,3:12-12,
16,,,,,
,,1,PRO,3:13-13,
,,2,PRO,3:14-14,
,,3,PRO,3:15-15,
,,4,PRO,3:16-16,
,,5,PRO,3:17-17,
,,6,PRO,3:18-18,
17,,,,,
,,1,PRO,3:19-19,
,,2,PRO,3:20-20,
18,,,,,
,,1,PRO,3:21-21,
,,2,PRO,3:22-22,
,,3,PRO,3:23-23,
,,4,PRO,3:24-24,
,,5,PRO,3:25-25,
,,6,PRO,3:26-26,
19,,,,,
,,1,PRO,3:27-27,
,,2,PRO,3:28-28,
20,,,,,
,,1,PRO,3:29-29,
,,2,PRO,3:30-30,
21,,,,,
,,1,PRO,3:31-31,
,,2,PRO,3:32-32,
22,,,,,
,,1,PRO,3:33-33,
,,2,PRO,3:34-34,
,,3,PRO,3:35-35,
23,Wisdom Is Supreme,,,,
,,1,PRO,4:1-1,
,,2,PRO,4:2-2,
,,3,PRO,4:3-3,
,,4,PRO,4:4-4,
,,5,PRO,4:5-5,
,,6,PRO,4:6-6,
,,7,PRO,4:7-7,
,,8,PRO,4:8-8,
,,9,PRO,4:9-9,
,,10,PRO,4:10-10,
,,11,PRO,4:11-11,
,,12,PRO,4:12-12,
,,13,PRO,4:13-13,
,,14,PRO,4:14-14,
,,15,PRO,4:15-15,
,,16,PRO,4:16-16,
,,17,PRO,4:17-17,
24,,,,,
,,1,PRO,4:18-18,
,,2,PRO,4:19-19,
25,,,,,
,,1,PRO,4:20-20,
,,2,PRO,4:21-21,
,,3,PRO,4:22-22,
,,4,PRO,4:23-23,
,,5,PRO,4:24-24,
,,6,PRO,4:25-25,
,,7,PRO,4:26-26,
,,8,PRO,4:27-27,
26,Warning Against Adultery,,,,
,,1,PRO,5:1-1,
,,2,PRO,5:2-2,
