Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Living Creatures and the Glory of the Lord,,,,
,,1,EZK,1:1-1,
,,2,EZK,1:2-3,
,,3,EZK,1:4-9,
,,4,EZK,1:10-14,
,,5,EZK,1:15-18,
,,6,EZK,1:19-21,
,,7,EZK,1:22-24,
,,8,EZK,1:25-28,
2,Ezekiel's Call,,,,
,,1,EZK,2:1-2,
,,2,EZK,2:3-8,
,,3,EZK,2:9-10,
,,4,EZK,3:1-2,
,,5,EZK,3:3-3,
,,6,EZK,3:4-9,
,,7,EZK,3:10-11,
,,8,EZK,3:12-15,
3,Warning to Israel,,,,
,,1,EZK,3:16-19,
,,2,EZK,3:20-21,
,,3,EZK,3:22-23,
,,4,EZK,3:24-27,
4,Siege of Jerusalem Symbolized,,,,
,,1,EZK,4:1-3,
,,2,EZK,4:4-5,
,,3,EZK,4:6-8,
,,4,EZK,4:9-13,
,,5,EZK,4:14-14,
,,6,EZK,4:15-15,
,,7,EZK,4:16-17,
,,8,EZK,5:1-4,
,,9,EZK,5:5-6,
,,10,EZK,5:7-7,
,,11,EZK,5:8-12,
,,12,EZK,5:13-13,
,,13,EZK,5:14-17,
5,A Prophecy Against the Mountains of Israel,,,,
,,1,EZK,6:1-7,
,,2,EZK,6:8-10,
,,3,EZK,6:11-14,
6,The End Has Come,,,,
,,1,EZK,7:1-4,
,,2,EZK,7:5-9,
,,3,EZK,7:10-14,
,,4,EZK,7:15-22,
,,5,EZK,7:23-27,
7,Idolatry in the Temple,,,,
,,1,EZK,8:1-4,
,,2,EZK,8:5-5,
,,3,EZK,8:6-6,
,,4,EZK,8:7-8,
,,5,EZK,8:9-11,
,,6,EZK,8:12-13,
,,7,EZK,8:14-15,
,,8,EZK,8:16-16,
,,9,EZK,8:17-18,
8,Idolaters Killed,,,,
,,1,EZK,9:1-2,
,,2,EZK,9:3-4,
,,3,EZK,9:5-6,
,,4,EZK,9:7-8,
,,5,EZK,9:9-10,
,,6,EZK,9:11-11,
9,The Glory Departs From the Temple,,,,
,,1,EZK,10:1-2,
,,2,EZK,10:3-5,
,,3,EZK,10:6-8,
,,4,EZK,10:9-14,
,,5,EZK,10:15-17,
,,6,EZK,10:18-19,
,,7,EZK,10:20-22,
10,Judgment on Israel's Leaders,,,,
,,1,EZK,11:1-4,
,,2,EZK,11:5-6,
,,3,EZK,11:7-12,
,,4,EZK,11:13-13,
,,5,EZK,11:14-15,
11,Promised Return of Israel,,,,
,,1,EZK,11:16-16,
,,2,EZK,11:17-17,
,,3,EZK,11:18-21,
,,4,EZK,11:22-24,
,,5,EZK,11:25-25,
12,The Exile Symbolized,,,,
,,1,EZK,12:1-2,
,,2,EZK,12:3-6,
,,3,EZK,12:7-7,
,,4,EZK,12:8-9,
,,5,EZK,12:10-11,
,,7,EZK,12:12-14,
,,8,EZK,12:15-16,
,,9,EZK,12:17-20,
,,10,EZK,12:21-25,
,,11,EZK,12:26-27,
,,12,EZK,12:28-28,
13,False Prophets Condemned,,,,
,,1,EZK,13:1-7,
,,2,EZK,13:8-9,
,,3,EZK,13:10-12,
,,4,EZK,13:13-16,
,,5,EZK,13:17-19,
,,6,EZK,13:20-23,
14,Idolaters Condemned,,,,
,,1,EZK,14:1-5,
,,2,EZK,14:6-6,
,,3,EZK,14:7-8,
,,4,EZK,14:9-11,
15,Judgment Inescapable,,,,
,,1,EZK,14:12-14,
,,2,EZK,14:15-16,
,,3,EZK,14:17-18,
,,4,EZK,14:19-20,
,,5,EZK,14:21-23,
16,Jerusalem, A Useless Vine,,,,
,,1,EZK,15:1-5,
,,2,EZK,15:6-8,
17,An Allegory of Unfaithful Jerusalem,,,,
,,1,EZK,16:1-5,
,,2,EZK,16:6-7,
,,3,EZK,16:8-8,
,,4,EZK,16:9-14,
,,5,EZK,16:15-19,
,,6,EZK,16:20-22,
,,7,EZK,16:23-29,
,,8,EZK,16:30-31,
,,9,EZK,16:32-34,
,,10,EZK,16:35-42,
,,11,EZK,16:43-43,
,,12,EZK,16:44-48,
,,13,EZK,16:49-52,
,,14,EZK,16:53-58,
,,15,EZK,16:59-63,
18,Two Eagles and a Vine,,,,
,,1,EZK,17:1-4,
,,2,EZK,17:5-6,
,,3,EZK,17:7-8,
,,4,EZK,17:9-10,
,,5,EZK,17:11-15,
,,6,EZK,17:16-18,
,,7,EZK,17:19-21,
,,8,EZK,17:22-24,
19,The Soul Who Sins Will Die,,,,
,,1,EZK,18:1-2,
,,2,EZK,18:3-4,
,,3,EZK,18:10-11,
,,4,EZK,18:14-14,
,,5,EZK,18:19-20,
,,6,EZK,18:21-23,
,,7,EZK,18:24-24,
,,8,EZK,18:25-29,
,,9,EZK,18:30-32,
20,A Lament for Israel's Princes,,,,
,,1,EZK,19:1-2,
21,Rebellious Israel,,,,
,,1,EZK,20:1-1,
,,2,EZK,20:2-3,
,,3,EZK,20:4-7,
,,4,EZK,20:8-12,
,,5,EZK,20:13-20,
,,6,EZK,20:21-26,
,,7,EZK,20:27-29,
22,Judgment and Restoration,,,,
,,1,EZK,20:30-31,
,,2,EZK,20:32-38,
,,3,EZK,20:39-44,
23,Prophecy Against the South,,,,
,,1,EZK,20:45-48,
,,2,EZK,20:49-49,
24,Babylon, God's Sword of Judgment,,,,
,,1,EZK,21:1-5,
,,2,EZK,21:6-7,
,,3,EZK,21:8-9,
,,5,EZK,21:13-13,
,,6,EZK,21:18-23,
,,7,EZK,21:24-24,
,,8,EZK,21:25-27,
,,9,EZK,21:28-28,
25,Jerusalem's Sins,,,,
,,1,EZK,22:1-5,
,,2,EZK,22:6-12,
,,3,EZK,22:13-16,
,,4,EZK,22:17-22,
,,5,EZK,22:23-29,
,,6,EZK,22:30-31,
26,Two Adulterous Sisters,,,,
,,1,EZK,23:1-4,
,,2,EZK,23:5-8,
,,3,EZK,23:9-10,
,,4,EZK,23:11-13,
,,5,EZK,23:14-21,
,,6,EZK,23:22-27,
,,7,EZK,23:28-31,
,,8,EZK,23:32-32,
,,9,EZK,23:35-35,
,,10,EZK,23:36-39,
,,11,EZK,23:40-41,
,,12,EZK,23:42-45,
,,13,EZK,23:46-47,
,,14,EZK,23:48-49,
27,The Cooking Pot,,,,
,,1,EZK,24:1-3,
,,2,EZK,24:13-13,
,,3,EZK,24:14-14,
28,Ezekiel's Wife Dies,,,,
,,1,EZK,24:15-17,
,,2,EZK,24:18-18,
,,3,EZK,24:19-19,
,,4,EZK,24:20-24,
,,5,EZK,24:25-27,
29,A Prophecy Against Ammon,,,,
,,1,EZK,25:1-7,
30,A Prophecy Against Moab,,,,
,,1,EZK,25:8-11,
31,A Prophecy Against Edom,,,,
,,1,EZK,25:12-14,
32,A Prophecy Against Philistia,,,,
,,1,EZK,25:15-17,
33,A Prophecy Against Tyre,,,,
,,1,EZK,26:1-6,
,,2,EZK,26:7-14,
,,3,EZK,26:15-17,
,,4,EZK,26:19-21,
34,A Lament for Tyre,,,,
,,1,EZK,27:1-3,
,,2,EZK,27:12-12,
,,3,EZK,27:13-13,
,,4,EZK,27:14-14,
,,5,EZK,27:15-15,
,,6,EZK,27:16-16,
,,7,EZK,27:17-17,
,,8,EZK,27:18-18,
,,9,EZK,27:19-19,
,,10,EZK,27:20-20,
,,11,EZK,27:21-21,
,,12,EZK,27:22-22,
,,13,EZK,27:23-24,
35,A Prophecy Against the King of Tyre,,,,
,,1,EZK,28:1-2,
,,2,EZK,28:6-6,
,,3,EZK,28:11-12,
36,A Prophecy Against Sidon,,,,
,,1,EZK,28:20-22,
,,2,EZK,28:24-24,
,,3,EZK,28:25-26,
37,A Prophecy Against Egypt,,,,
,,1,EZK,29:1-3,
,,2,EZK,29:7-7,
,,3,EZK,29:8-9,
,,4,EZK,29:10-12,
,,5,EZK,29:13-16,
,,6,EZK,29:17-20,
,,7,EZK,29:21-21,
38,A Lament for Egypt,,,,
,,1,EZK,30:1-2,
,,2,EZK,30:6-6,
,,3,EZK,30:9-9,
,,4,EZK,30:10-10,
,,5,EZK,30:13-13,
,,6,EZK,30:20-26,
39,A Cedar in Lebanon,,,,
,,1,EZK,31:1-2,
,,2,EZK,31:10-14,
,,3,EZK,31:15-17,
,,4,EZK,31:18-18,
40,A Lament for Pharaoh,,,,
,,1,EZK,32:1-2,
,,2,EZK,32:3-3,
,,3,EZK,32:11-11,
,,4,EZK,32:16-16,
,,5,EZK,32:17-21,
,,6,EZK,32:22-23,
,,7,EZK,32:24-25,
,,8,EZK,32:26-27,
,,9,EZK,32:28-28,
,,10,EZK,32:29-29,
,,11,EZK,32:30-30,
,,12,EZK,32:31-32,
41,Ezekiel a Watchman,,,,
,,1,EZK,33:1-6,
,,2,EZK,33:7-9,
,,3,EZK,33:10-11,
,,4,EZK,33:12-16,
,,5,EZK,33:17-20,
42,Jerusalem's Fall Explained,,,,
,,1,EZK,33:21-22,
,,2,EZK,33:23-26,
,,3,EZK,33:27-29,
,,4,EZK,33:30-32,
,,5,EZK,33:33-33,
43,Shepherds and Sheep,,,,
,,1,EZK,34:1-6,
,,2,EZK,34:7-10,
,,3,EZK,34:11-16,
,,4,EZK,34:17-19,
,,5,EZK,34:20-24,
,,6,EZK,34:25-31,
44,A Prophecy Against Edom,,,,
,,1,EZK,35:1-4,
,,2,EZK,35:5-9,
,,3,EZK,35:10-15,
45,A Prophecy to the Mountains of Israel,,,,
,,1,EZK,36:1-7,
,,2,EZK,36:8-12,
,,3,EZK,36:13-15,
,,4,EZK,36:16-21,
,,5,EZK,36:22-23,
,,6,EZK,36:24-32,
,,7,EZK,36:33-36,
,,8,EZK,36:37-38,
46,The Valley of Dry Bones,,,,
,,1,EZK,37:1-3,
,,3,EZK,37:4-6,
,,4,EZK,37:7-8,
,,5,EZK,37:9-10,
,,6,EZK,37:11-14,
47,One Nation Under One King,,,,
,,1,EZK,37:15-17,
,,2,EZK,37:18-23,
,,3,EZK,37:24-28,
48,A Prophecy Against Gog,,,,
,,1,EZK,38:1-6,
,,2,EZK,38:7-9,
,,3,EZK,38:10-13,
,,4,EZK,38:14-16,
,,5,EZK,38:17-23,
,,6,EZK,39:1-6,
,,7,EZK,39:7-8,
,,8,EZK,39:9-10,
,,9,EZK,39:11-11,
,,10,EZK,39:12-13,
,,11,EZK,39:14-16,
,,12,EZK,39:17-20,
,,13,EZK,39:21-24,
,,14,EZK,39:25-29,
49,The New Temple Area,,,,
,,1,EZK,40:1-4,
50,The East Gate to the Outer Court,,,,
,,1,EZK,40:5-5,
,,2,EZK,40:6-7,
,,3,EZK,40:8-9,
,,4,EZK,40:10-16,
51,The Outer Court,,,,
,,1,EZK,40:17-19,
52,The North Gate,,,,
,,1,EZK,40:20-23,
53,The South Gate,,,,
,,1,EZK,40:24-27,
54,Gates to the Inner Court,,,,
,,1,EZK,40:28-31,
,,2,EZK,40:32-34,
,,3,EZK,40:35-37,
55,The Rooms for Preparing Sacrifices,,,,
,,1,EZK,40:38-43,
56,Rooms for the Priests,,,,
,,1,EZK,40:44-46,
,,2,EZK,40:47-47,
57,The Temple,,,,
,,1,EZK,40:48-49,
,,2,EZK,41:1-2,
,,3,EZK,41:3-4,
,,4,EZK,41:5-7,
,,5,EZK,41:8-11,
,,6,EZK,41:12-12,
,,7,EZK,41:13-14,
,,8,EZK,41:15-15,
,,9,EZK,41:16-20,
,,10,EZK,41:21-26,
58,Rooms for the Priests,,,,
,,1,EZK,42:1-9,
,,2,EZK,42:10-12,
,,3,EZK,42:13-14,
,,4,EZK,42:15-20,
59,The Glory Returns to the Temple,,,,
,,1,EZK,43:1-5,
,,2,EZK,43:6-9,
,,3,EZK,43:10-11,
,,4,EZK,43:12-12,
60,The Altar,,,,
,,1,EZK,43:13-17,
,,2,EZK,43:18-21,
,,3,EZK,43:22-24,
,,4,EZK,43:25-27,
61,The Prince, the Levites, the Priests,,,,
,,1,EZK,44:1-3,
,,2,EZK,44:4-4,
,,3,EZK,44:5-9,
,,4,EZK,44:10-14,
,,5,EZK,44:15-16,
,,6,EZK,44:17-19,
,,7,EZK,44:20-23,
,,8,EZK,44:24-24,
,,9,EZK,44:25-27,
,,10,EZK,44:28-31,
62,Division of the Land,,,,
,,1,EZK,45:1-5,
,,2,EZK,45:6-6,
,,3,EZK,45:7-8,
,,4,EZK,45:9-12,
63,Offerings and Holy Days,,,,
,,1,EZK,45:13-17,
,,2,EZK,45:18-20,
,,3,EZK,45:21-24,
,,4,EZK,45:25-25,
,,5,EZK,46:1-8,
,,6,EZK,46:9-10,
,,7,EZK,46:11-12,
,,8,EZK,46:13-15,
,,9,EZK,46:16-18,
,,10,EZK,46:19-20,
,,11,EZK,46:21-24,
64,The River From the Temple,,,,
,,1,EZK,47:1-2,
,,2,EZK,47:3-6,
,,3,EZK,47:7-12,
65,The Boundaries of the Land,,,,
,,1,EZK,47:13-14,
,,2,EZK,47:15-15,
,,3,EZK,47:16-17,
,,4,EZK,47:18-18,
,,5,EZK,47:19-19,
,,6,EZK,47:20-20,
,,7,EZK,47:21-23,
66,The Division of the Land,,,,
,,1,EZK,48:1-1,
,,2,EZK,48:2-2,
,,3,EZK,48:3-3,
,,4,EZK,48:4-4,
,,5,EZK,48:5-5,
,,6,EZK,48:6-6,
,,7,EZK,48:7-7,
,,8,EZK,48:8-8,
,,9,EZK,48:9-12,
,,10,EZK,48:13-14,
,,11,EZK,48:15-20,
,,12,EZK,48:21-22,
,,13,EZK,48:23-23,
,,14,EZK,48:24-24,
,,15,EZK,48:25-25,
,,16,EZK,48:26-26,
,,17,EZK,48:27-27,
,,18,EZK,48:28-28,
,,19,EZK,48:29-29,
67,The Gates of the City,,,,
,,1,EZK,48:30-31,
,,2,EZK,48:32-32,
,,3,EZK,48:33-33,
,,4,EZK,48:34-34,
,,5,EZK,48:35-35,
