Set #,Title in NIV,Passage,Book,Breaks,Description
1,The Genealogy of Jesus,,,,
,,1,MAT,1:1-1,
,,2,MAT,1:2-2,
,,4,MAT,1:12-12,
,,5,MAT,1:17-17,
2,The Birth of Jesus Christ,,,,
,,1,MAT,1:18-19,
,,2,MAT,1:20-21,
,,3,MAT,1:22-23,
,,4,MAT,1:24-25,
3,The Visit of the Magi,,,,
,,1,MAT,2:1-2,
,,2,MAT,2:3-5,
,,3,MAT,2:7-8,
,,4,MAT,2:9-12,
4,The Escape to Egypt,,,,
,,1,MAT,2:13-15,
,,2,MAT,2:16-17,
5,The Return to Nazareth,,,,
,,1,MAT,2:19-20,
,,2,MAT,2:21-23,
6,John the Baptist Prepares the Way,,,,
,,1,MAT,3:1-3,
,,2,MAT,3:4-6,
,,3,MAT,3:7-10,
,,4,MAT,3:11-12,
7,The Baptism of Jesus,,,,
,,1,MAT,3:13-14,
,,2,MAT,3:15-15,
,,3,MAT,3:16-17,
8,The Temptation of Jesus,,,,
,,1,MAT,4:1-3,
,,2,MAT,4:4-4,
,,3,MAT,4:5-6,
,,4,MAT,4:7-7,
,,5,MAT,4:8-9,
,,6,MAT,4:10-10,
,,7,MAT,4:11-11,
9,Jesus Begins to Preach,,,,
,,1,MAT,4:12-14,
,,2,MAT,4:17-17,
10,The Calling of the First Disciples,,,,
,,1,MAT,4:18-20,
,,2,MAT,4:21-22,
11,Jesus Heals the Sick,,,,
,,1,MAT,4:23-25,
12,The Beatitudes,,,,
,,1,MAT,5:1-2,
,,2,MAT,5:11-12,
13,Salt and Light,,,,
,,1,MAT,5:13-13,
,,2,MAT,5:14-16,
14,The Fulfillment of the Law,,,,
,,1,MAT,5:17-20,
15,Murder,,,,
,,1,MAT,5:21-22,
,,2,MAT,5:23-24,
,,3,MAT,5:25-26,
16,Adultery,,,,
,,1,MAT,5:27-30,
17,Divorce,,,,
,,1,MAT,5:31-32,
18,Oaths,,,,
,,1,MAT,5:33-37,
19,An Eye for an Eye,,,,
,,1,MAT,5:38-42,
20,Love for Enemies,,,,
,,1,MAT,5:43-48,
21,Giving to the Needy,,,,
,,1,MAT,6:1-1,
,,2,MAT,6:2-4,
22,Prayer,,,,
,,1,MAT,6:5-8,
,,2,MAT,6:9-9,
23,Fasting,,,,
,,1,MAT,6:16-18,
24,Treasures in Heaven,,,,
,,1,MAT,6:19-21,
,,2,MAT,6:22-23,
,,3,MAT,6:24-24,
25,Do Not Worry,,,,
,,1,MAT,6:25-27,
,,2,MAT,6:28-34,
26,Judging Others,,,,
,,1,MAT,7:1-2,
,,2,MAT,7:3-5,
,,3,MAT,7:6-6,
27,Ask, Seek, Knock,,,,
,,1,MAT,7:7-8,
,,2,MAT,7:9-12,
28,The Narrow and Wide Gates,,,,
,,1,MAT,7:13-14,
29,A Tree and Its Fruit,,,,
,,1,MAT,7:15-20,
,,2,MAT,7:21-23,
30,The Wise and Foolish Builders,,,,
,,1,MAT,7:24-27,
