Set #,Title in NIV,Passage,Book,Breaks,Description
,,1,2TI,1:1-1,
,,2,2TI,1:2-2,
1,Encouragement to Be Faithful,,,,
,,1,2TI,1:3-7,
,,2,2TI,1:8-12,
,,3,2TI,1:13-14,
,,4,2TI,1:15-15,
,,5,2TI,1:16-18,
,,6,2TI,2:1-7,
,,7,2TI,2:8-10,
,,8,2TI,2:11-11,
2,A Workman Approved by God,,,,
,,1,2TI,2:14-19,
,,2,2TI,2:20-21,
,,3,2TI,2:22-26,
3,Godlessness in the Last Days,,,,
,,1,2TI,3:1-5,
,,2,2TI,3:6-9,
4,Paul's Charge to Timothy,,,,
,,1,2TI,3:10-17,
,,2,2TI,4:1-5,
,,3,2TI,4:6-8,
5,Personal Remarks,,,,
,,1,2TI,4:9-13,
,,2,2TI,4:14-15,
,,3,2TI,4:16-18,
6,Final Greetings,,,,
,,1,2TI,4:19-21,
,,2,2TI,4:22-22,
