Set #,Title in NIV,Book,Breaks,Description
1,The Burnt Offering,LEV,1:1-13,
2,The Grain Offering,LEV,2:1-13,
3,The Fellowship Offering,LEV,3:1-16,
4,The Sin Offering,LEV,4:1-31,
5,The Sin Offering,LEV,5:1-13,
5,The Guilt Offering,LEV,5:14-16,
7,The Guilt Offering,LEV,6:1-7,
6,The Burnt Offering,LEV,6:8-13,
7,The Grain Offering,LEV,6:14-23,
8,The Sin Offering,LEV,6:24-23,
9,The Guilt Offering,LEV,7:1-10,
10,The Fellowship Offering,LEV,7:11-21,
11,Eating Fat and Blood Forbidden,LEV,7:22-27,
12,The Priests' Share,LEV,7:28-36,
13,The Ordination of Aaron and His Sons,LEV,8:1-30,
14,The Priests Begin Their Ministry,LEV,9:1-22,
15,The Death of Nadab and Abihu,LEV,10:1-18,
16,Clean and Unclean Food,LEV,11:1-45,
17,Purification After Childbirth,LEV,12:1-7,
18,Regulations About Infectious Skin Diseases,LEV,13:1-46,
19,Regulations About Mildew,LEV,13:47-58,
20,Cleansing From Infectious Skin Diseases,LEV,14:1-32,
21,Cleansing From Mildew,LEV,14:33-57,
22,Discharges Causing Uncleanness,LEV,15:1-31,
23,The Day of Atonement,LEV,16:1-34,
24,Eating Blood Forbidden,LEV,17:1-14,
25,Unlawful Sexual Relations,LEV,18:1-28,
26,Various Laws,LEV,19:1-36,
27,Punishments for Sin,LEV,20:1-26,
28,Rules for Priests,LEV,21:1-23,
31,Rules for Priests,LEV,22:1-16,
29,Unacceptable Sacrifices,LEV,22:17-30,
33,Unacceptable Sacrifices,LEV,23:1-2,
30,The Sabbath,LEV,23:3-3,
31,The Passover and Unleavened Bread,LEV,23:4-8,
32,Firstfruits,LEV,23:9-14,
33,Feast of Weeks,LEV,23:15-22,
34,Feast of Trumpets,LEV,23:23-25,
35,Day of Atonement,LEV,23:26-32,
36,Feast of Tabernacles,LEV,23:33-43,
37,Oil and Bread Set Before the Lord,LEV,24:1-9,
38,A Blasphemer Stoned,LEV,24:10-22,
39,The Sabbath Year,LEV,25:1-7,
40,The Year of Jubilee,LEV,25:8-53,
41,Reward for Obedience,LEV,26:1-13,
42,Punishment for Disobedience,LEV,26:14-45,
43,Redeeming What Is the Lord's,LEV,27:1-33,
