Set #,Title in NIV,Book,Breaks,Description
1,The Command to Leave Horeb,DEU,1:1-8,
2,The Appointment of Leaders,DEU,1:9-18,
3,Spies Sent Out,DEU,1:19-25,
4,Rebellion Against the Lord,DEU,1:26-42,
5,Wanderings in the Desert,DEU,2:1-23,
6,Defeat of Sihon King of Heshbon,DEU,2:24-31,
7,Defeat of Og King of Bashan,DEU,3:1-11,
8,Division of the Land,DEU,3:12-20,
9,Moses Forbidden to Cross the Jordan,DEU,3:21-25,
10,Obedience Commanded,DEU,4:1-14,
11,Idolatry Forbidden,DEU,4:15-31,
12,The Lord Is God,DEU,4:32-40,
13,Cities of Refuge,DEU,4:41-43,
14,Introduction to the Law,DEU,4:44-43,
15,The Ten Commandments,DEU,5:1-31,
16,Love the Lord Your God,DEU,6:1-19,
17,Driving Out the Nations,DEU,7:1-16,
18,Do Not Forget the Lord,DEU,8:1-18,
19,Not Because of Israel's Righteousness,DEU,9:1-6,
20,The Golden Calf,DEU,9:7-24,
21,Tablets Like the First Ones,DEU,10:1-11,
22,Fear the Lord,DEU,10:12-13,
23,Love and Obey the Lord,DEU,11:1-25,
24,The One Place of Worship,DEU,12:1-31,
25,Worshiping Other Gods,DEU,13:1-11,
26,Clean and Unclean Food,DEU,14:1-21,
27,Tithes,DEU,14:22-27,
28,The Year for Canceling Debts,DEU,15:1-11,
29,Freeing Servants,DEU,15:12-18,
30,The Firstborn Animals,DEU,15:19-18,
31,Passover,DEU,16:1-8,
32,Feast of Weeks,DEU,16:9-12,
33,Feast of Tabernacles,DEU,16:13-17,
34,Judges,DEU,16:18-20,
35,Worshiping Other Gods,DEU,16:21-20,
37,Worshiping Other Gods,DEU,17:1-7,
36,Law Courts,DEU,17:8-13,
37,The King,DEU,17:14-17,
38,Offerings for Priests and Levites,DEU,18:1-8,
39,Detestable Practices,DEU,18:9-13,
40,The Prophet,DEU,18:14-20,
41,Cities of Refuge,DEU,19:1-14,
42,Witnesses,DEU,19:15-15,
43,Going to War,DEU,20:1-18,
44,Atonement for an Unsolved Murder,DEU,21:1-9,
45,Marrying a Captive Woman,DEU,21:10-14,
46,The Right of the Firstborn,DEU,21:15-17,
47,A Rebellious Son,DEU,21:18-21,
48,Various Laws,DEU,21:22-21,
51,Various Laws,DEU,22:1-12,
49,Marriage Violations,DEU,22:13-29,
50,Exclusion From the Assembly,DEU,23:1-8,
51,Uncleanness in the Camp,DEU,23:9-14,
52,Miscellaneous Laws,DEU,23:15-23,
56,Miscellaneous Laws,DEU,24:1-18,
57,Miscellaneous Laws,DEU,25:1-16,
53,Firstfruits and Tithes,DEU,26:1-15,
54,Follow the Lord's Commands,DEU,26:16-15,
55,The Altar on Mount Ebal,DEU,27:1-8,
56,Curses From Mount Ebal,DEU,27:9-26,
57,Blessings for Obedience,DEU,28:1-14,
58,Curses for Disobedience,DEU,28:15-63,
59,Renewal of the Covenant,DEU,29:1-28,
60,Prosperity After Turning to the Lord,DEU,30:1-10,
61,The Offer of Life or Death,DEU,30:11-18,
62,Joshua to Succeed Moses,DEU,31:1-8,
63,The Reading of the Law,DEU,31:9-13,
64,Israel's Rebellion Predicted,DEU,31:14-29,
65,The Song of Moses,DEU,31:30-29,
74,The Song of Moses,DEU,32:1-47,
66,Moses to Die on Mount Nebo,DEU,32:48-47,
67,Moses Blesses the Tribes,DEU,33:1-29,
68,The Death of Moses,DEU,34:1-9,
