Set #,Title in NIV,Book,Breaks,Description
1,The Lord Commands Joshua,JOS,1:1-15,
2,Rahab and the Spies,JOS,2:1-21,
3,Crossing the Jordan,JOS,3:1-13,
4,Crossing the Jordan,JOS,4:1-18,
4,Circumcision at Gilgal,JOS,5:1-12,
5,The Fall of Jericho,JOS,5:13-14,
7,The Fall of Jericho,JOS,6:1-26,
6,Achan's Sin,JOS,7:1-25,
7,Ai Destroyed,JOS,8:1-29,
8,The Covenant Renewed at Mount Ebal,JOS,8:30-33,
9,The Gibeonite Deception,JOS,9:1-25,
10,The Sun Stands Still,JOS,10:1-15,
11,Five Amorite Kings Killed,JOS,10:16-28,
12,Southern Cities Conquered,JOS,10:29-42,
13,Northern Kings Defeated,JOS,11:1-23,
14,List of Defeated Kings,JOS,12:1-24,
15,Land Still to Be Taken,JOS,13:1-7,
16,Division of the Land East of the Jordan,JOS,13:8-31,
17,Division of the Land West of the Jordan,JOS,14:1-5,
18,Hebron Given to Caleb,JOS,14:6-15,
19,Allotment for Judah,JOS,15:1-62,
20,Allotment for Ephraim and Manasseh,JOS,16:1-9,
24,Allotment for Ephraim and Manasseh,JOS,17:1-16,
21,Division of the Rest of the Land,JOS,18:1-10,
22,Allotment for Benjamin,JOS,18:11-28,
23,Allotment for Simeon,JOS,19:1-9,
24,Allotment for Zebulun,JOS,19:10-16,
25,Allotment for Issachar,JOS,19:17-23,
26,Allotment for Asher,JOS,19:24-31,
27,Allotment for Naphtali,JOS,19:32-39,
28,Allotment for Dan,JOS,19:40-48,
29,Allotment for Joshua,JOS,19:49-50,
30,Cities of Refuge,JOS,20:1-6,
31,Towns for the Levites,JOS,21:1-42,
32,Eastern Tribes Return Home,JOS,22:1-33,
33,Joshua's Farewell to the Leaders,JOS,23:1-13,
34,The Covenant Renewed at Shechem,JOS,24:1-27,
35,Buried in the Promised Land,JOS,24:28-32,
