Set #,Title in NIV,Book,Breaks,Description
1,Adonijah Sets Himself Up as King,1KI,1:1-27,
2,David Makes Solomon King,1KI,1:28-51,
3,David's Charge to Solomon,1KI,2:1-12,
4,Solomon's Throne Established,1KI,2:13-46,
5,Solomon Asks for Wisdom,1KI,3:1-15,
6,A Wise Ruling,1KI,3:16-27,
7,Solomon's Officials and Governors,1KI,4:1-19,
8,Solomon's Daily Provisions,1KI,4:20-28,
9,Solomon's Wisdom,1KI,4:29-28,
10,Preparations for Building the Temple,1KI,5:1-12,
11,Solomon Builds the Temple,1KI,6:1-36,
12,Solomon Builds His Palace,1KI,7:1-12,
13,The Temple's Furnishings,1KI,7:13-50,
14,The Ark Brought to the Temple,1KI,8:1-21,
15,Solomon's Prayer of Dedication,1KI,8:22-61,
16,The Dedication of the Temple,1KI,8:62-64,
17,The Lord Appears to Solomon,1KI,9:1-9,
18,Solomon's Other Activities,1KI,9:10-25,
19,The Queen of Sheba Visits Solomon,1KI,10:1-13,
20,Solomon's Splendor,1KI,10:14-25,
21,Solomon's Wives,1KI,11:1-13,
22,Solomon's Adversaries,1KI,11:14-25,
23,Jeroboam Rebels Against Solomon,1KI,11:26-40,
24,Solomon's Death,1KI,11:41-40,
25,Israel Rebels Against Rehoboam,1KI,12:1-24,
26,Golden Calves at Bethel and Dan,1KI,12:25-30,
27,The Man of God From Judah,1KI,13:1-32,
28,Ahijah's Prophecy Against Jeroboam,1KI,14:1-20,
29,Rehoboam King of Judah,1KI,14:21-28,
30,Abijah King of Judah,1KI,15:1-8,
31,Asa King of Judah,1KI,15:9-24,
32,Nadab King of Israel,1KI,15:25-32,
33,Baasha King of Israel,1KI,15:33-32,
44,Baasha King of Israel,1KI,16:1-7,
34,Elah King of Israel,1KI,16:8-14,
35,Zimri King of Israel,1KI,16:15-20,
36,Omri King of Israel,1KI,16:21-28,
37,Ahab Becomes King of Israel,1KI,16:29-33,
38,Elijah Fed by Ravens,1KI,17:1-6,
39,The Widow at Zarephath,1KI,17:7-23,
40,Elijah and Obadiah,1KI,18:1-15,
41,Elijah on Mount Carmel,1KI,18:16-44,
42,Elijah Flees to Horeb,1KI,19:1-9,
43,The Lord Appears to Elijah,1KI,19:10-18,
44,The Call of Elisha,1KI,19:19-20,
45,Ben-Hadad Attacks Samaria,1KI,20:1-12,
46,Ahab Defeats Ben-Hadad,1KI,20:13-34,
47,A Prophet Condemns Ahab,1KI,20:35-40,
48,Naboth's Vineyard,1KI,21:1-27,
49,Micaiah Prophesies Against Ahab,1KI,22:1-28,
50,Ahab Killed at Ramoth Gilead,1KI,22:29-40,
51,Jehoshaphat King of Judah,1KI,22:41-50,
52,Ahaziah King of Israel,1KI,22:51-50,
