Set #,Title in NIV,Book,Breaks,Description
1,Historical Records From Adam to Abraham,1CH,1:1-,
2,To Noah's Sons,1CH,1:1-4,
3,The Japhethites,1CH,1:5-7,
4,The Hamites,1CH,1:8-16,
5,The Semites,1CH,1:17-27,
6,The Family of Abraham,1CH,1:28-28,
7,Descendants of Hagar,1CH,1:29-31,
8,Descendants of Keturah,1CH,1:32-33,
9,Descendants of Sarah,1CH,1:34-34,
10,Esau's Sons,1CH,1:35-37,
11,The People of Seir in Edom,1CH,1:38-42,
12,The Rulers of Edom,1CH,1:43-51,
13,Israel's Sons,1CH,2:1-2,
14,Judah,1CH,2:3-2,
15,To Hezron's Sons,1CH,2:3-9,
16,From Ram Son of Hezron,1CH,2:10-17,
17,Caleb Son of Hezron,1CH,2:18-24,
18,Jerahmeel Son of Hezron,1CH,2:25-41,
19,The Clans of Caleb,1CH,2:42-54,
20,The Sons of David,1CH,3:1-9,
21,The Kings of Judah,1CH,3:10-16,
22,The Royal Line After the Exile,1CH,3:17-24,
23,Other Clans of Judah,1CH,4:1-23,
24,Simeon,1CH,4:24-40,
25,Reuben,1CH,5:1-10,
26,Gad,1CH,5:11-22,
27,The Half-Tribe of Manasseh,1CH,5:23-23,
28,Levi,1CH,6:1-30,
29,The Temple Musicians,1CH,6:31-80,
30,Issachar,1CH,7:1-5,
31,Benjamin,1CH,7:6-12,
32,Naphtali,1CH,7:13-13,
33,Manasseh,1CH,7:14-19,
34,Ephraim,1CH,7:20-29,
35,Asher,1CH,7:30-39,
36,The Genealogy of Saul the Benjamite,1CH,8:1-40,
48,The Genealogy of Saul the Benjamite,1CH,9:1-1,
37,The People in Jerusalem,1CH,9:2-34,
38,The Genealogy of Saul,1CH,9:35-44,
39,Saul Takes His Life,1CH,10:1-12,
40,David Becomes King Over Israel,1CH,11:1-3,
41,David Conquers Jerusalem,1CH,11:4-9,
42,David's Mighty Men,1CH,11:10-46,
43,Warriors Join David,1CH,12:1-22,
44,Others Join David at Hebron,1CH,12:23-37,
45,Bringing Back the Ark,1CH,13:1-11,
46,David's House and Family,1CH,14:1-7,
47,David Defeats the Philistines,1CH,14:8-16,
48,The Ark Brought to Jerusalem,1CH,15:1-28,
62,The Ark Brought to Jerusalem,1CH,16:1-6,
49,David's Psalm of Thanks,1CH,16:7-42,
50,God's Promise to David,1CH,17:1-15,
51,David's Prayer,1CH,17:16-24,
52,David's Victories,1CH,18:1-13,
53,David's Officials,1CH,18:14-13,
54,The Battle Against the Ammonites,1CH,19:1-19,
55,The Capture of Rabbah,1CH,20:1-3,
56,War With the Philistines,1CH,20:4-7,
57,David Numbers the Fighting Men,1CH,21:1-26,
78,David Numbers the Fighting Men,1CH,22:1-1,
58,Preparations for the Temple,1CH,22:2-16,
59,The Levites,1CH,23:1-6,
60,Gershonites,1CH,23:7-11,
61,Kohathites,1CH,23:12-20,
62,Merarites,1CH,23:21-31,
63,The Divisions of Priests,1CH,24:1-19,
64,The Rest of the Levites,1CH,24:20-30,
65,The Singers,1CH,25:1-31,
66,The Gatekeepers,1CH,26:1-19,
67,The Treasurers and Other Officials,1CH,26:20-29,
68,Army Divisions,1CH,27:1-15,
69,Officers of the Tribes,1CH,27:16-24,
70,The King's Overseers,1CH,27:25-34,
71,David's Plans for the Temple,1CH,28:1-19,
72,Gifts for Building the Temple,1CH,29:1-9,
73,David's Prayer,1CH,29:10-20,
74,Solomon Acknowledged as King,1CH,29:21-25,
75,The Death of David,1CH,29:26-28,
