Set #,Title in NIV,Book,Breaks,Description
1,Cyrus Helps the Exiles to Return,EZR,1:1-10,
2,The List of the Exiles Who Returned,EZR,2:1-69,
3,Rebuilding the Altar,EZR,3:1-6,
4,Rebuilding the Temple,EZR,3:7-11,
5,Opposition to the Rebuilding,EZR,4:1-5,
6,Later Opposition Under Xerxes and Artaxerxes,EZR,4:6-23,
7,Tattenai's Letter to Darius,EZR,5:1-16,
8,The Decree of Darius,EZR,6:1-12,
9,Completion and Dedication of the Temple,EZR,6:13-18,
10,The Passover,EZR,6:19-18,
11,Ezra Comes to Jerusalem,EZR,7:1-10,
12,King Artaxerxes' Letter to Ezra,EZR,7:11-26,
13,List of the Family Heads Returning With Ezra,EZR,8:1-14,
14,The Return to Jerusalem,EZR,8:15-34,
15,Ezra's Prayer About Intermarriage,EZR,9:1-12,
16,The People's Confession of Sin,EZR,10:1-17,
17,Those Guilty of Intermarriage,EZR,10:18-43,
