Set #,Title in NIV,Book,Breaks,Description
1,Queen Vashti Deposed,EST,1:1-20,
2,Esther Made Queen,EST,2:1-18,
3,Mordecai Uncovers a Conspiracy,EST,2:19-20,
4,Haman's Plot to Destroy the Jews,EST,3:1-14,
5,Mordecai Persuades Esther to Help,EST,4:1-16,
6,Esther's Request to the King,EST,5:1-8,
7,Haman's Rage Against Mordecai,EST,5:9-13,
8,Mordecai Honored,EST,6:1-13,
9,Haman Hanged,EST,7:1-9,
10,The King's Edict in Behalf of the Jews,EST,8:1-14,
11,Triumph of the Jews,EST,9:1-17,
12,Purim Celebrated,EST,9:18-28,
13,The Greatness of Mordecai,EST,10:1-32,
