Set #,Title in NIV,Book,Breaks,Description
1,Prologue,JOB,1:1-5,
2,Job's First Test,JOB,1:6-21,
3,Job's Second Test,JOB,2:1-10,
4,Job's Three Friends,JOB,2:11-10,
5,Job Speaks,JOB,3:1-26,
6,Eliphaz,JOB,4:1-21,
11,Eliphaz,JOB,5:1-27,
7,Job,JOB,6:1-30,
21,Job,JOB,7:1-21,
8,Bildad,JOB,8:1-22,
9,Job,JOB,9:1-35,
33,Job,JOB,10:1-22,
10,Zophar,JOB,11:1-20,
11,Job,JOB,12:1-25,
45,Job,JOB,13:1-28,
49,Job,JOB,14:1-22,
12,Eliphaz,JOB,15:1-35,
13,Job,JOB,16:1-22,
63,Job,JOB,17:1-16,
14,Bildad,JOB,18:1-21,
15,Job,JOB,19:1-29,
16,Zophar,JOB,20:1-29,
17,Job,JOB,21:1-34,
18,Eliphaz,JOB,22:1-30,
19,Job,JOB,23:1-17,
93,Job,JOB,24:1-25,
20,Bildad,JOB,25:1-6,
21,Job,JOB,26:1-14,
100,Job,JOB,27:1-23,
104,Job,JOB,28:1-28,
107,Job,JOB,29:1-25,
111,Job,JOB,30:1-31,
116,Job,JOB,31:1-40,
22,Elihu,JOB,32:1-22,
128,Elihu,JOB,33:1-33,
134,Elihu,JOB,34:1-37,
141,Elihu,JOB,35:1-16,
144,Elihu,JOB,36:1-33,
150,Elihu,JOB,37:1-24,
23,The Lord Speaks,JOB,38:1-41,
163,The Lord Speaks,JOB,39:1-30,
169,The Lord Speaks,JOB,40:1-24,
172,The Lord Speaks,JOB,41:1-34,
24,Job,JOB,42:1-6,
25,Epilogue,JOB,42:7-15,
