Set #,Title in NIV,Book,Breaks,Description
1,,PSA,1:1-5,
2,,PSA,1:6-6,
3,,PSA,2:1-3,
4,,PSA,2:4-9,
5,,PSA,2:10-12,
6,,PSA,3:1-12,
7,,PSA,3:3-4,
8,,PSA,3:5-6,
9,,PSA,3:7-7,
10,,PSA,3:8-8,
11,,PSA,4:1-8,
12,,PSA,4:2-3,
13,,PSA,4:4-5,
14,,PSA,4:6-8,
15,,PSA,5:1-8,
16,,PSA,5:4-6,
17,,PSA,5:7-8,
18,,PSA,5:9-10,
19,,PSA,5:11-12,
20,,PSA,6:1-12,
21,,PSA,6:4-5,
22,,PSA,6:6-7,
23,,PSA,6:8-10,
24,,PSA,7:1-10,
25,,PSA,7:3-5,
26,,PSA,7:6-9,
27,,PSA,7:10-13,
28,,PSA,7:14-16,
29,,PSA,7:17-17,
30,,PSA,8:1-17,
31,,PSA,8:2-2,
32,,PSA,8:3-5,
33,,PSA,8:6-8,
34,,PSA,8:9-9,
35,,PSA,9:1-9,
36,,PSA,9:3-6,
37,,PSA,9:7-10,
38,,PSA,9:11-12,
39,,PSA,9:13-18,
40,,PSA,9:19-20,
41,,PSA,10:1-1,
42,,PSA,10:2-11,
43,,PSA,10:12-15,
44,,PSA,10:16-18,
45,,PSA,11:1-18,
46,,PSA,11:4-6,
47,,PSA,11:7-7,
48,,PSA,12:1-7,
49,,PSA,12:3-4,
50,,PSA,12:5-6,
51,,PSA,12:7-8,
52,,PSA,13:1-8,
53,,PSA,13:3-4,
54,,PSA,13:5-6,
55,,PSA,14:1-6,
56,,PSA,14:2-3,
57,,PSA,14:4-6,
58,,PSA,14:7-7,
59,,PSA,15:1-7,
60,,PSA,15:2-5,
61,,PSA,15:1-5,
62,,PSA,16:1-5,
63,,PSA,16:2-4,
64,,PSA,16:5-6,
65,,PSA,16:7-8,
66,,PSA,16:9-11,
67,,PSA,17:1-11,
68,,PSA,17:3-5,
69,,PSA,17:6-9,
70,,PSA,17:10-12,
71,,PSA,17:13-14,
72,,PSA,17:15-15,
73,,PSA,18:1-15,
74,,PSA,18:2-3,
75,,PSA,18:4-6,
76,,PSA,18:7-15,
77,,PSA,18:16-19,
78,,PSA,18:20-24,
79,,PSA,18:25-29,
80,,PSA,18:30-36,
81,,PSA,18:37-42,
82,,PSA,18:43-45,
83,,PSA,18:46-50,
84,,PSA,19:1-50,
85,,PSA,19:5-6,
86,,PSA,19:7-11,
87,,PSA,19:12-13,
88,,PSA,19:14-14,
89,,PSA,20:1-14,
90,,PSA,20:6-8,
91,,PSA,20:9-9,
92,,PSA,21:1-9,
93,,PSA,21:8-12,
94,,PSA,21:13-13,
95,,PSA,22:1-13,
96,,PSA,22:3-5,
97,,PSA,22:6-8,
98,,PSA,22:9-11,
99,,PSA,22:12-18,
100,,PSA,22:19-21,
101,,PSA,22:22-24,
102,,PSA,22:25-28,
103,,PSA,22:29-31,
104,,PSA,23:1-31,
105,,PSA,23:5-6,
106,,PSA,24:1-6,
107,,PSA,24:3-6,
108,,PSA,24:7-10,
109,,PSA,25:1-10,
110,,PSA,25:4-7,
111,,PSA,25:8-15,
112,,PSA,25:16-21,
113,,PSA,25:22-22,
114,,PSA,26:1-22,
115,,PSA,26:9-11,
116,,PSA,26:12-12,
117,,PSA,27:1-12,
118,,PSA,27:4-6,
119,,PSA,27:7-12,
120,,PSA,27:13-14,
121,,PSA,28:1-14,
122,,PSA,28:3-5,
123,,PSA,28:6-7,
124,,PSA,28:8-9,
125,,PSA,29:1-9,
126,,PSA,29:3-9,
127,,PSA,29:10-11,
128,,PSA,30:1-11,
129,,PSA,30:4-5,
130,,PSA,30:6-7,
131,,PSA,30:8-10,
132,,PSA,30:11-12,
133,,PSA,31:1-12,
134,,PSA,31:6-8,
135,,PSA,31:9-13,
136,,PSA,31:14-18,
137,,PSA,31:19-20,
138,,PSA,31:21-22,
139,,PSA,31:23-24,
140,,PSA,32:1-24,
141,,PSA,32:3-5,
142,,PSA,32:6-7,
143,,PSA,32:8-10,
144,,PSA,32:11-11,
145,,PSA,33:1-3,
146,,PSA,33:4-5,
147,,PSA,33:6-11,
148,,PSA,33:12-19,
149,,PSA,33:20-22,
150,,PSA,34:1-22,
151,,PSA,34:4-7,
152,,PSA,34:8-10,
153,,PSA,34:11-14,
154,,PSA,34:15-16,
155,,PSA,34:17-18,
156,,PSA,34:19-20,
157,,PSA,34:21-22,
158,,PSA,35:1-22,
159,,PSA,35:4-10,
160,,PSA,35:11-18,
161,,PSA,35:19-21,
162,,PSA,35:22-25,
163,,PSA,35:26-28,
164,,PSA,36:1-28,
165,,PSA,36:5-9,
166,,PSA,36:10-12,
167,,PSA,37:1-12,
168,,PSA,37:3-4,
169,,PSA,37:5-6,
170,,PSA,37:7-7,
171,,PSA,37:8-9,
172,,PSA,37:10-11,
173,,PSA,37:12-13,
174,,PSA,37:14-15,
175,,PSA,37:16-17,
176,,PSA,37:18-19,
177,,PSA,37:20-20,
178,,PSA,37:21-22,
179,,PSA,37:23-24,
180,,PSA,37:25-26,
181,,PSA,37:27-28,
182,,PSA,37:29-29,
183,,PSA,37:30-31,
184,,PSA,37:32-33,
185,,PSA,37:34-34,
186,,PSA,37:35-36,
187,,PSA,37:37-38,
188,,PSA,37:39-40,
189,,PSA,38:1-40,
190,,PSA,38:5-8,
191,,PSA,38:9-12,
192,,PSA,38:13-16,
193,,PSA,38:17-20,
194,,PSA,38:21-22,
195,,PSA,39:1-22,
196,,PSA,39:4-6,
197,,PSA,39:7-11,
198,,PSA,39:12-13,
199,,PSA,40:1-13,
200,,PSA,40:4-5,
201,,PSA,40:6-8,
202,,PSA,40:9-10,
203,,PSA,40:11-12,
204,,PSA,40:13-16,
205,,PSA,40:17-17,
206,,PSA,41:1-17,
207,,PSA,41:4-6,
208,,PSA,41:7-9,
209,,PSA,41:10-12,
210,,PSA,41:13-13,
211,,PSA,42:1-13,
212,,PSA,42:5-6,
213,,PSA,42:7-7,
214,,PSA,42:8-8,
215,,PSA,42:9-10,
216,,PSA,42:11-11,
217,,PSA,43:1-4,
218,,PSA,43:5-5,
219,,PSA,44:1-5,
220,,PSA,44:4-8,
221,,PSA,44:9-12,
222,,PSA,44:13-16,
223,,PSA,44:17-19,
224,,PSA,44:20-22,
225,,PSA,44:23-24,
226,,PSA,44:25-26,
227,,PSA,45:1-26,
228,,PSA,45:2-9,
229,,PSA,45:10-12,
230,,PSA,45:13-15,
231,,PSA,45:16-17,
232,,PSA,46:1-17,
233,,PSA,46:4-6,
234,,PSA,46:7-7,
235,,PSA,46:8-10,
236,,PSA,46:11-11,
237,,PSA,47:1-11,
238,,PSA,47:5-6,
239,,PSA,47:7-9,
240,,PSA,48:1-9,
241,,PSA,48:4-7,
242,,PSA,48:8-8,
