Set #,Title in NIV,Book,Breaks,Description
1,,LAM,1:1-1,
2,,LAM,1:2-2,
3,,LAM,1:3-3,
4,,LAM,1:4-4,
5,,LAM,1:5-5,
6,,LAM,1:6-6,
7,,LAM,1:7-7,
8,,LAM,1:8-8,
9,,LAM,1:9-9,
10,,LAM,1:10-10,
11,,LAM,1:11-11,
12,,LAM,1:12-12,
13,,LAM,1:13-13,
14,,LAM,1:14-14,
15,,LAM,1:15-15,
16,,LAM,1:16-16,
17,,LAM,1:17-17,
18,,LAM,1:18-18,
19,,LAM,1:19-19,
20,,LAM,1:20-20,
21,,LAM,1:21-21,
22,,LAM,1:22-22,
23,,LAM,2:1-1,
24,,LAM,2:2-2,
25,,LAM,2:3-3,
26,,LAM,2:4-4,
27,,LAM,2:5-5,
28,,LAM,2:6-6,
29,,LAM,2:7-7,
30,,LAM,2:8-8,
31,,LAM,2:9-9,
32,,LAM,2:10-10,
33,,LAM,2:11-11,
34,,LAM,2:12-12,
35,,LAM,2:13-13,
36,,LAM,2:14-14,
37,,LAM,2:15-15,
38,,LAM,2:16-16,
39,,LAM,2:17-17,
40,,LAM,2:18-18,
41,,LAM,2:19-19,
42,,LAM,2:20-20,
43,,LAM,2:21-21,
44,,LAM,2:22-22,
45,,LAM,3:1-3,
46,,LAM,3:4-6,
47,,LAM,3:7-9,
48,,LAM,3:10-12,
49,,LAM,3:13-15,
50,,LAM,3:16-18,
51,,LAM,3:19-21,
52,,LAM,3:22-24,
53,,LAM,3:25-27,
54,,LAM,3:28-30,
55,,LAM,3:31-33,
56,,LAM,3:34-36,
57,,LAM,3:37-39,
58,,LAM,3:40-42,
59,,LAM,3:43-45,
60,,LAM,3:46-48,
61,,LAM,3:49-51,
62,,LAM,3:52-54,
63,,LAM,3:55-57,
64,,LAM,3:58-60,
65,,LAM,3:61-63,
66,,LAM,3:64-66,
67,,LAM,4:1-1,
68,,LAM,4:2-2,
69,,LAM,4:3-3,
70,,LAM,4:4-4,
71,,LAM,4:5-5,
72,,LAM,4:6-6,
73,,LAM,4:7-7,
74,,LAM,4:8-8,
75,,LAM,4:9-9,
76,,LAM,4:10-10,
77,,LAM,4:11-11,
78,,LAM,4:12-12,
79,,LAM,4:13-13,
80,,LAM,4:14-14,
81,,LAM,4:15-15,
82,,LAM,4:16-16,
83,,LAM,4:17-17,
84,,LAM,4:18-18,
85,,LAM,4:19-19,
86,,LAM,4:20-20,
87,,LAM,4:21-21,
88,,LAM,4:22-22,
89,,LAM,5:1-22,
