Set #,Title in NIV,Book,Breaks,Description
1,The Living Creatures and the Glory of the Lord,EZK,1:1-28,
2,Ezekiel's Call,EZK,2:1-8,
3,Ezekiel's Call,EZK,3:1-15,
3,Warning to Israel,EZK,3:16-23,
4,Siege of Jerusalem Symbolized,EZK,4:1-15,
6,Siege of Jerusalem Symbolized,EZK,5:1-13,
5,A Prophecy Against the Mountains of Israel,EZK,6:1-10,
6,The End Has Come,EZK,7:1-22,
7,Idolatry in the Temple,EZK,8:1-16,
8,Idolaters Killed,EZK,9:1-10,
9,The Glory Departs From the Temple,EZK,10:1-19,
10,Judgment on Israel's Leaders,EZK,11:1-15,
11,Promised Return of Israel,EZK,11:16-24,
12,The Exile Symbolized,EZK,12:1-27,
13,False Prophets Condemned,EZK,13:1-19,
14,Idolaters Condemned,EZK,14:1-11,
15,Judgment Inescapable,EZK,14:12-20,
16,Jerusalem, A Useless Vine,EZK,15:1-5,
17,An Allegory of Unfaithful Jerusalem,EZK,16:1-58,
18,Two Eagles and a Vine,EZK,17:1-24,
19,The Soul Who Sins Will Die,EZK,18:1-29,
20,A Lament for Israel's Princes,EZK,19:1-14,
21,Rebellious Israel,EZK,20:1-29,
22,Judgment and Restoration,EZK,20:30-44,
23,Prophecy Against the South,EZK,20:45-48,
24,Babylon, God's Sword of Judgment,EZK,21:1-32,
25,Jerusalem's Sins,EZK,22:1-29,
26,Two Adulterous Sisters,EZK,23:1-47,
27,The Cooking Pot,EZK,24:1-14,
28,Ezekiel's Wife Dies,EZK,24:15-24,
29,A Prophecy Against Ammon,EZK,25:1-7,
30,A Prophecy Against Moab,EZK,25:8-11,
31,A Prophecy Against Edom,EZK,25:12-14,
32,A Prophecy Against Philistia,EZK,25:15-14,
33,A Prophecy Against Tyre,EZK,26:1-18,
34,A Lament for Tyre,EZK,27:1-36,
35,A Prophecy Against the King of Tyre,EZK,28:1-19,
36,A Prophecy Against Sidon,EZK,28:20-24,
37,A Prophecy Against Egypt,EZK,29:1-20,
38,A Lament for Egypt,EZK,30:1-19,
39,A Cedar in Lebanon,EZK,31:1-18,
40,A Lament for Pharaoh,EZK,32:1-30,
41,Ezekiel a Watchman,EZK,33:1-20,
42,Jerusalem's Fall Explained,EZK,33:21-32,
43,Shepherds and Sheep,EZK,34:1-24,
44,A Prophecy Against Edom,EZK,35:1-9,
45,A Prophecy to the Mountains of Israel,EZK,36:1-36,
46,The Valley of Dry Bones,EZK,37:1-14,
47,One Nation Under One King,EZK,37:15-23,
48,A Prophecy Against Gog,EZK,38:1-16,
56,A Prophecy Against Gog,EZK,39:1-24,
49,The New Temple Area,EZK,40:1-4,
50,The East Gate to the Outer Court,EZK,40:5-16,
51,The Outer Court,EZK,40:17-19,
52,The North Gate,EZK,40:20-23,
53,The South Gate,EZK,40:24-27,
54,Gates to the Inner Court,EZK,40:28-37,
55,The Rooms for Preparing Sacrifices,EZK,40:38-43,
56,Rooms for the Priests,EZK,40:44-47,
57,The Temple,EZK,40:48-47,
66,The Temple,EZK,41:1-20,
58,Rooms for the Priests,EZK,42:1-14,
59,The Glory Returns to the Temple,EZK,43:1-12,
60,The Altar,EZK,43:13-24,
61,The Prince, the Levites, the Priests,EZK,44:1-27,
62,Division of the Land,EZK,45:1-12,
63,Offerings and Holy Days,EZK,45:13-24,
73,Offerings and Holy Days,EZK,46:1-20,
64,The River From the Temple,EZK,47:1-12,
65,The Boundaries of the Land,EZK,47:13-20,
66,The Division of the Land,EZK,48:1-29,
67,The Gates of the City,EZK,48:30-35,
