Set #,Title in NIV,Book,Breaks,Description
1,,MIC,1:1-2,
1,Judgment Against Samaria and Jerusalem,MIC,1:3-7,
2,Weeping and Mourning,MIC,1:8-16,
3,Man's Plans and God's,MIC,2:1-5,
4,False Prophets,MIC,2:6-11,
5,Deliverance Promised,MIC,2:12-13,
6,Leaders and Prophets Rebuked,MIC,3:1-12,
7,The Mountain of the Lord,MIC,4:1-5,
8,The Lord's Plan,MIC,4:6-13,
9,A Promised Ruler From Bethlehem,MIC,5:1-5,
10,Deliverance and Destruction,MIC,5:6-15,
11,The Lord's Case Against Israel,MIC,6:1-8,
12,Israel's Guilt and Punishment,MIC,6:9-16,
13,Israel's Misery,MIC,7:1-7,
14,Israel Will Rise,MIC,7:8-13,
15,Prayer and Praise,MIC,7:14-20,
