Set #,Title in NIV,Book,Breaks,Description
1,The Genealogy of Jesus,MAT,1:1-17,
2,The Birth of Jesus Christ,MAT,1:18-23,
3,The Visit of the Magi,MAT,2:1-12,
4,The Escape to Egypt,MAT,2:13-18,
5,The Return to Nazareth,MAT,2:19-20,
6,John the Baptist Prepares the Way,MAT,3:1-12,
7,The Baptism of Jesus,MAT,3:13-15,
8,The Temptation of Jesus,MAT,4:1-11,
9,Jesus Begins to Preach,MAT,4:12-17,
10,The Calling of the First Disciples,MAT,4:18-22,
11,Jesus Heals the Sick,MAT,4:23-22,
12,The Beatitudes,MAT,5:1-12,
13,Salt and Light,MAT,5:13-16,
14,The Fulfillment of the Law,MAT,5:17-20,
15,Murder,MAT,5:21-26,
16,Adultery,MAT,5:27-30,
17,Divorce,MAT,5:31-32,
18,Oaths,MAT,5:33-37,
19,An Eye for an Eye,MAT,5:38-42,
20,Love for Enemies,MAT,5:43-42,
21,Giving to the Needy,MAT,6:1-4,
22,Prayer,MAT,6:5-15,
23,Fasting,MAT,6:16-18,
24,Treasures in Heaven,MAT,6:19-24,
25,Do Not Worry,MAT,6:25-27,
26,Judging Others,MAT,7:1-6,
27,Ask, Seek, Knock,MAT,7:7-12,
28,The Narrow and Wide Gates,MAT,7:13-14,
29,A Tree and Its Fruit,MAT,7:15-23,
30,The Wise and Foolish Builders,MAT,7:24-27,
31,The Man With Leprosy,MAT,8:1-4,
32,The Faith of the Centurion,MAT,8:5-13,
33,Jesus Heals Many,MAT,8:14-17,
34,The Cost of Following Jesus,MAT,8:18-22,
35,Jesus Calms the Storm,MAT,8:23-27,
36,The Healing of Two Demon-possessed Men,MAT,8:28-31,
37,Jesus Heals a Paralytic,MAT,9:1-8,
38,The Calling of Matthew,MAT,9:9-13,
39,Jesus Questioned About Fasting,MAT,9:14-17,
40,A Dead Girl and a Sick Woman,MAT,9:18-26,
41,Jesus Heals the Blind and Mute,MAT,9:27-34,
42,The Workers Are Few,MAT,9:35-34,
43,Jesus Sends Out the Twelve,MAT,10:1-39,
44,Jesus and John the Baptist,MAT,11:1-19,
45,Woe on Unrepentant Cities,MAT,11:20-24,
46,Rest for the Weary,MAT,11:25-27,
47,Lord of the Sabbath,MAT,12:1-14,
48,God's Chosen Servant,MAT,12:15-21,
49,Jesus and Beelzebub,MAT,12:22-37,
50,The Sign of Jonah,MAT,12:38-45,
51,Jesus' Mother and Brothers,MAT,12:46-47,
52,The Parable of the Sower,MAT,13:1-23,
53,The Parable of the Weeds,MAT,13:24-30,
54,The Parables of the Mustard Seed and the Yeast,MAT,13:31-35,
55,The Parable of the Weeds Explained,MAT,13:36-43,
56,The Parables of the Hidden Treasure and the Pearl,MAT,13:44-46,
57,The Parable of the Net,MAT,13:47-52,
58,A Prophet Without Honor,MAT,13:53-57,
59,John the Baptist Beheaded,MAT,14:1-12,
60,Jesus Feeds the Five Thousand,MAT,14:13-21,
61,Jesus Walks on the Water,MAT,14:22-33,
62,Clean and Unclean,MAT,15:1-20,
63,The Faith of the Canaanite Woman,MAT,15:21-28,
64,Jesus Feeds the Four Thousand,MAT,15:29-34,
65,The Demand for a Sign,MAT,16:1-4,
66,The Yeast of the Pharisees and Sadducees,MAT,16:5-12,
67,Peter's Confession of Christ,MAT,16:13-20,
