Set #,Title in NIV,Book,Breaks,Description
1,Introduction,LUK,1:1-4,
2,The Birth of John the Baptist Foretold,LUK,1:5-25,
3,The Birth of Jesus Foretold,LUK,1:26-38,
4,Mary Visits Elizabeth,LUK,1:39-45,
5,Mary's Song,LUK,1:46-56,
6,The Birth of John the Baptist,LUK,1:57-66,
7,Zechariah's Song,LUK,1:67-79,
8,The Birth of Jesus,LUK,2:1-7,
9,The Shepherds and the Angels,LUK,2:8-20,
10,Jesus Presented in the Temple,LUK,2:21-40,
11,The Boy Jesus at the Temple,LUK,2:41-50,
12,John the Baptist Prepares the Way,LUK,3:1-20,
13,The Baptism and Genealogy of Jesus,LUK,3:21-38,
14,The Temptation of Jesus,LUK,4:1-13,
15,Jesus Rejected at Nazareth,LUK,4:14-30,
16,Jesus Drives Out an Evil Spirit,LUK,4:31-37,
17,Jesus Heals Many,LUK,4:38-41,
18,The Calling of the First Disciples,LUK,5:1-11,
19,The Man With Leprosy,LUK,5:12-16,
20,Jesus Heals a Paralytic,LUK,5:17-26,
21,The Calling of Levi,LUK,5:27-32,
22,Jesus Questioned About Fasting,LUK,5:33-35,
23,Lord of the Sabbath,LUK,6:1-11,
24,The Twelve Apostles,LUK,6:12-16,
25,Blessings and Woes,LUK,6:17-26,
26,Love for Enemies,LUK,6:27-36,
27,Judging Others,LUK,6:37-42,
28,A Tree and Its Fruit,LUK,6:43-45,
29,The Wise and Foolish Builders,LUK,6:46-45,
30,The Faith of the Centurion,LUK,7:1-10,
31,Jesus Raises a Widow's Son,LUK,7:11-17,
32,Jesus and John the Baptist,LUK,7:18-35,
33,Jesus Anointed by a Sinful Woman,LUK,7:36-49,
34,The Parable of the Sower,LUK,8:1-15,
35,A Lamp on a Stand,LUK,8:16-18,
36,Jesus' Mother and Brother,LUK,8:19-21,
37,Jesus Calms the Storm,LUK,8:22-25,
38,The Healing of a Demon-possessed Man,LUK,8:26-39,
39,A Dead Girl and a Sick Woman,LUK,8:40-52,
40,Jesus Sends Out the Twelve,LUK,9:1-9,
41,Jesus Feeds the Five Thousand,LUK,9:10-17,
42,Peter's Confession of Christ,LUK,9:18-27,
43,The Transfiguration,LUK,9:28-36,
44,The Healing of a Boy With an Evil Spirit,LUK,9:37-45,
45,Who Will Be the Greatest,LUK,9:46-50,
46,Samaritan Opposition,LUK,9:51-56,
47,The Cost of Following Jesus,LUK,9:57-61,
48,Jesus Sends Out the Seventy-two,LUK,10:1-24,
49,The Parable of the Good Samaritan,LUK,10:25-37,
50,At the Home of Martha and Mary,LUK,10:38-40,
51,Jesus' Teaching on Prayer,LUK,11:1-13,
52,Jesus and Beelzebub,LUK,11:14-28,
53,The Sign of Jonah,LUK,11:29-32,
54,The Lamp of the Body,LUK,11:33-36,
55,Six Woes,LUK,11:37-52,
56,Warnings and Encouragements,LUK,12:1-12,
57,The Parable of the Rich Fool,LUK,12:13-21,
58,Do Not Worry,LUK,12:22-34,
59,Watchfulness,LUK,12:35-48,
60,Not Peace but Division,LUK,12:49-53,
61,Interpreting the Times,LUK,12:54-56,
62,Repent or Perish,LUK,13:1-9,
63,A Crippled Woman Healed on the Sabbath,LUK,13:10-17,
64,The Parables of the Mustard Seed and the Yeast,LUK,13:18-21,
65,The Narrow Door,LUK,13:22-30,
66,Jesus' Sorrow for Jerusalem,LUK,13:31-33,
67,Jesus at a Pharisee's House,LUK,14:1-14,
68,The Parable of the Great Banquet,LUK,14:15-24,
69,The Cost of Being a Disciple,LUK,14:25-35,
70,The Parable of the Lost Sheep,LUK,15:1-7,
71,The Parable of the Lost Coin,LUK,15:8-10,
72,The Parable of the Lost Son,LUK,15:11-30,
73,The Parable of the Shrewd Manager,LUK,16:1-15,
74,Additional Teachings,LUK,16:16-18,
75,The Rich Man and Lazarus,LUK,16:19-30,
76,Sin, Faith, Duty,LUK,17:1-10,
77,Ten Healed of Leprosy,LUK,17:11-19,
78,The Coming of the Kingdom of God,LUK,17:20-37,
79,The Parable of the Persistent Widow,LUK,18:1-8,
80,The Parable of the Pharisee and the Tax Collector,LUK,18:9-14,
81,The Little Children and Jesus,LUK,18:15-17,
82,The Rich Ruler,LUK,18:18-30,
83,Jesus Again Predicts His Death,LUK,18:31-34,
84,A Blind Beggar Receives His Sight,LUK,18:35-41,
85,Zacchaeus the Tax Collector,LUK,19:1-10,
86,The Parable of the Ten Minas,LUK,19:11-27,
87,The Triumphal Entry,LUK,19:28-44,
88,Jesus at the Temple,LUK,19:45-46,
89,The Authority of Jesus Questioned,LUK,20:1-8,
90,The Parable of the Tenants,LUK,20:9-19,
91,Paying Taxes to Caesar,LUK,20:20-26,
92,The Resurrection and Marriage,LUK,20:27-40,
93,Whose Son Is the Christ?,LUK,20:41-44,
94,The Widow's Offering,LUK,21:1-4,
95,Signs of the End of the Age,LUK,21:5-36,
96,Judas Agrees to Betray Jesus,LUK,22:1-6,
97,The Last Supper,LUK,22:7-38,
98,Jesus Prays on the Mount of Olives,LUK,22:39-46,
99,Jesus Arrested,LUK,22:47-53,
100,Peter Disowns Jesus,LUK,22:54-62,
101,The Guards Mock Jesus,LUK,22:63-65,
102,Jesus Before Pilate and Herod,LUK,22:66-70,
105,Jesus Before Pilate and Herod,LUK,23:1-25,
103,The Crucifixion,LUK,23:26-43,
104,Jesus' Death,LUK,23:44-49,
105,Jesus' Burial,LUK,23:50-54,
106,The Resurrection,LUK,24:1-12,
107,On the Road to Emmaus,LUK,24:13-35,
108,Jesus Appears to the Disciples,LUK,24:36-49,
109,The Ascension,LUK,24:50-49,
