Code	N°	English Name	Nom français	Alias	Age	Date	In langtags	Region	Lang	Notes	WSTech	NLCI	Microsoft	Other	Noto Sans	Noto Serif	WSTech
Adlm	166	Adlam	adlam	Adlam	9.0	2016-12-05	y						Ebrima		NotoSansAdlam		
Afak	439	Afaka	afaka			2010-12-21	y										
Aghb	239	Caucasian Albanian	aghbanien	Caucasian_Albanian	7.0	2014-11-15									NotoSansCaucasianAlbanian		
Ahom	338	Ahom, Tai Ahom	âhom	Ahom	8.0	2015-07-07	y									NotoSerifAhom	
Arab							y	CM, GN, SN, NG, NE			Harmattan						
Arab							y	PK			Awami Nastaliq						
Arab	160	Arabic	arabe	Arabic	1.1	2004-05-01	y				Scheherazade				NotoSansArabic		
Aran	161	Arabic (Nastaliq variant)	arabe (variante nastalique)		1.1	2014-11-15					Awami Nastaliq					NotoNastaliqUrdu	
Armi	124	Imperial Aramaic	araméen impérial	Imperial_Aramaic	5.2	2009-06-01	y								NotoSansImperialAramaic		
Armn	230	Armenian	arménien	Armenian	1.1	2004-05-01	y								NotoSansArmenian	NotoSerifArmenian	
Avst	134	Avestan	avestique	Avestan	5.2	2009-06-01	y								NotoSansAvestan		
Bali	360	Balinese	balinais	Balinese	5.0	2006-10-10	y								NotoSansBalinese		
Bamu	435	Bamum	bamoum	Bamum	5.2	2009-06-01	y								NotoSansBamum		
Bass	259	Bassa Vah	bassa	Bassa_Vah	7.0	2014-11-15	y								NotoSansBassaVah		
Batk	365	Batak	batik	Batak	6.0	2010-07-23	y								NotoSansBatak		
Beng	325	Bengali (Bangla)	bengalî (bangla)	Bengali	1.1	2016-12-05	y								NotoSansBengali	NotoSerifBengali	
Bhks	334	Bhaiksuki	bhaïksukî	Bhaiksuki	9.0	2016-12-05									NotoSansBhaiksuki		
Blis	550	Blissymbols	symboles Bliss			2004-05-01	y										
Bopo	285	Bopomofo	bopomofo	Bopomofo	1.1	2004-05-01	y										
Brah	300	Brahmi	brahma	Brahmi	6.0	2010-07-23	y								NotoSansBrahmi		
Brai	570	Braille	braille	Braille	3.0	2004-05-01	y										
Bugi	367	Buginese	bouguis	Buginese	4.1	2006-06-21	y								NotoSansBuginese		
Buhd	372	Buhid	bouhide	Buhid	3.2	2004-05-01	y								NotoSansBuhid		
Cakm	349	Chakma	chakma	Chakma	6.1	2012-02-06	y								NotoSansChakma		
Cans	440	Unified Canadian Aboriginal Syllabics	syllabaire autochtone canadien unifié	Canadian_Aboriginal	3.0	2004-05-29	y								NotoSansCanadianAboriginal		
Cari	201	Carian	carien	Carian	5.1	2007-07-02	y								NotoSansCarian		
Cham	358	Cham	cham (čam, tcham)	Cham	5.1	2009-11-11	y								NotoSansCham		
Cher	445	Cherokee	tchérokî	Cherokee	3.0	2004-05-01	y								NotoSansCherokee		
Cirt	291	Cirth	cirth			2004-05-01											
Copt	204	Coptic	copte	Coptic	4.1	2006-06-21	y								NotoSansCoptic		Sophia Nubian
Cpmn	402	Cypro-Minoan	syllabaire chypro-minoen			2017-07-26											
Cprt	403	Cypriot syllabary	syllabaire chypriote	Cypriot	4.0	2017-07-26	y								NotoSansCypriot		
Cyrl	220	Cyrillic	cyrillique	Cyrillic	1.1	2004-05-01	y				Charis SIL				NotoSansLatin	NotoSerifLatin	
Cyrs	221	Cyrillic (Old Church Slavonic variant)	cyrillique (variante slavonne)		1.1	2004-05-01	y										
Deva	315	Devanagari (Nagari)	dévanâgarî	Devanagari	1.1	2004-05-01	y				Annapurna SIL				NotoSansDevanagari	NotoSerifDevanagari	
Dogr	328	Dogra	dogra	Dogra	11.0	2016-12-05											
Dsrt	250	Deseret (Mormon)	déseret (mormon)	Deseret	3.1	2004-05-01	y								NotoSansDeseret		
Dupl	755	Duployan shorthand, Duployan stenography	sténographie Duployé	Duployan	7.0	2014-11-15									NotoSansDuployan		
Egyd	70	Egyptian demotic	démotique égyptien			2004-05-01											
Egyh	60	Egyptian hieratic	hiératique égyptien		5.2	2004-05-01											
Egyp	50	Egyptian hieroglyphs	hiéroglyphes égyptiens	Egyptian_Hieroglyphs	5.2	2009-06-01	y								NotoSansEgyptianHieroglyphs		
Elba	226	Elbasan	elbasan	Elbasan	7.0	2014-11-15	y								NotoSansElbasan		
Elym	128	Elymaic	élymaïque	Elymaic	12.0	2018-08-26	y										
Ethi	430	Ethiopic (Geʻez)	éthiopien (geʻez, guèze)	Ethiopic	3.0	2004-10-25	y				Abyssinica SIL				NotoSansEthiopic	NotoSerifEthiopic	
Geok	241	Khutsuri (Asomtavruli and Nuskhuri)	khoutsouri (assomtavrouli et nouskhouri)	Georgian	1.1	2012-10-16	y										
Geor	240	Georgian (Mkhedruli and Mtavruli)	géorgien (mkhédrouli et mtavrouli)	Georgian	1.1	2016-12-05	y								NotoSansGeorgian	NotoSerifGeorgian	
Glag	225	Glagolitic	glagolitique	Glagolitic	4.1	2006-06-21	y								NotoSansGlagolitic		
Gong	312	Gunjala Gondi	gunjala gondî	Gunjala_Gondi	11.0	2016-12-05					Narnoor						
Gonm	313	Masaram Gondi	masaram gondî	Masaram_Gondi	10.0	2017-07-26											
Goth	206	Gothic	gotique	Gothic	3.1	2004-05-01	y								NotoSansGothic		
Gran	343	Grantha	grantha	Grantha	7.0	2014-11-15	y								NotoSansGrantha		
